Well,npeak,main_tm,Sample,Censor,Tissue,Extractions
A1,4,86.3333333333333,A1,NA,Dalea purpurea,1
A2,3,86.2441441441441,A1,NA,Dalea purpurea,1
A3,3,86.7,H1,NA,Andropogon gerardii,1
A4,3,86.7396396396396,H1,NA,Andropogon gerardii,1
B1,3,85.8972972972973,A2,NA,Dalea purpurea,2
B2,3,85.8774774774775,A2,NA,Dalea purpurea,2
B3,3,85.9864864864865,H2,NA,Andropogon gerardii,2
B4,3,85.9864864864865,H2,NA,Andropogon gerardii,2
C1,4,85.9963963963964,A3,NA,Dalea purpurea,3
C2,3,85.9963963963964,A3,NA,Dalea purpurea,3
C3,2,86.0657657657658,H3,NA,Andropogon gerardii,3
C4,3,86.0261261261261,H3,NA,Andropogon gerardii,3
D1,5,86.5513513513513,A4,NA,Dalea purpurea,4
D2,4,85.8873873873874,A4,NA,Dalea purpurea,4
E1,4,85.7189189189189,C1,NA,Silphium integrifolium,1
E2,3,85.709009009009,C1,NA,Silphium integrifolium,1
E3,6,85.6792792792793,R. Sph,NA,Rhodobacter sphaeroides,1
E4,5,85.6891891891892,R. Sph,NA,Rhodobacter sphaeroides,1
F1,3,85.5603603603604,C2,NA,Silphium integrifolium,2
F2,4,85.5702702702703,C2,NA,Silphium integrifolium,2
F3,4,84.5594594594595,H. Flu,NA,Haemophilus influenzae,1
F4,4,84.5396396396396,H. Flu,NA,Haemophilus influenzae,1
G1,4,86.2540540540541,C3,NA,Silphium integrifolium,3
G2,4,86.2441441441441,C3,NA,Silphium integrifolium,3
G3,4,86.145045045045,E. Coli,NA,E. coli K12,1
G4,5,86.1351351351351,E. Coli,NA,E. coli K12,1
H1,4,85.9666666666667,C4,NA,Silphium integrifolium,4
H2,3,85.9765765765766,C4,NA,Silphium integrifolium,4
H3,5,85.7783783783784,Mixed Bact,NA,Mixed Bacterial Sample,1
H4,4,85.7882882882883,Mixed Bact,NA,Mixed Bacterial Sample,1
