datetime,Sample.ID,User.ID,Date,Time,ng.ul,A260,A280,X260.280,X260.230,Constant,Cursor.Pos.,Cursor.abs.,X340.raw,newID,note
2015-01-12 03:00:00,SiIn 30,Default,1/12/2015,03:00,227.06,4.541,2.402,1.89,1.32,50,230,3.433,0.661,NA,NA
2015-01-12 03:02:00,SiIn 50,Default,1/12/2015,03:02,319.98,6.4,3.417,1.87,1.45,50,230,4.429,0.943,NA,NA
2015-01-12 03:03:00,SiIn 70,Default,1/12/2015,03:03,438.62,8.772,4.826,1.82,1.44,50,230,6.093,2.773,NA,NA
2015-01-12 03:05:00,CKB H2O,Default,1/12/2015,03:05,-6.52,-0.13,-0.054,2.4,-0.24,50,230,0.536,-0.019,NA,NA
2015-01-12 03:08:00,AnGe 30,Default,1/12/2015,03:08,959.37,19.187,9.611,2,1.86,50,230,10.321,1.403,NA,NA
2015-01-12 03:10:00,AnGe 50,Default,1/12/2015,03:10,576.47,11.529,6.573,1.75,1.31,50,230,8.831,3.754,NA,NA
2015-01-12 03:12:00,AnGe 70,Default,1/12/2015,03:12,435.2,8.704,4.891,1.78,1.17,50,230,7.451,1.936,NA,NA
2015-01-12 03:14:00,CRS H2O,Default,1/12/2015,03:14,1.18,0.024,-0.025,-0.93,0.02,50,230,1.062,0,CRS H2O,typo
2015-01-12 03:18:00,DaPu 30,Default,1/12/2015,03:18,223.29,4.466,2.188,2.04,1.48,50,230,3.025,0.137,NA,NA
2015-01-12 03:20:00,DaPu 50,Default,1/12/2015,03:20,140.92,2.818,1.498,1.88,1.08,50,230,2.615,0.143,NA,NA
2015-01-12 03:21:00,DaPu 70,Default,1/12/2015,03:21,312.3,6.246,3.876,1.61,0.81,50,230,7.717,1.128,NA,NA
2015-01-12 03:23:00,TLP H2O,Default,1/12/2015,03:23,0.79,0.016,-0.023,-0.68,0.03,50,230,0.63,0.012,NA,NA
2015-01-14 01:49:00,DaPu 30,Default,1/14/2015,01:49,55.21,1.104,0.442,2.5,0.46,50,230,2.409,0.015,NA,NA
2015-01-14 01:51:00,DaPu 50,Default,1/14/2015,01:51,142.64,2.853,1.37,2.08,1.4,50,230,2.042,0.046,NA,NA
2015-01-14 01:54:00,DaPu 70,Default,1/14/2015,01:54,128.27,2.565,1.268,2.02,1.16,50,230,2.204,0.076,NA,NA
2015-01-14 01:56:00,SiIn 30,Default,1/14/2015,01:56,10.3,0.206,0.144,1.43,0.19,50,230,1.092,0.089,NA,NA
2015-01-14 01:57:00,SiIn 50,Default,1/14/2015,01:57,44.35,0.887,0.503,1.76,0.77,50,230,1.15,0.077,NA,NA
