# Testing Brown lab CTAB extraction protocol
# Tissue is ground root voucher material, extracted 2015-01-08 by:
# SiIn = Silphium integrifolium, CKB
# DaPu = Dalea purpurea, TLP 
# AnGe = Andropogon gerardii, CRS
# Gel: 0.8% agarose with 0.01% ethidium bromide
# Loaded 10 µL sample + 2 µL loading dye per lane
# Ladder: 2 µL 1 KB + 2 µL loading dye
# Run at 75 V for 40 min
row, lane, id, mg roots, notes
1, 1, 1 KB,,
1, 2, SiIn 30, 27,
1, 3, SiIn 50, 47.6,
1, 4, SiIn 70, 75.8, most of sample floated out of well--probable ethanol contamination.
1, 5, CKB H2O,,
1, 6, CRS H2O,,
1, 7, TLP H2O,,
1, 8,,,
2, 1, 1 KB,,
2, 2, AnGe 30, 29.1,
2, 3, AnGe 50, 54.5,
2, 4, AnGe 70, 78.9,
2, 5, DaPu 30, 28,
2, 6, DaPu 50, 46.1,
2, 7, DaPu 70, 72.6,
2, 8,,,
