# Testing Brunner et al. CTAB extraction protocol
# BME reduced from 2% to 0.2%
# Tissue is ground root voucher material, extracted 2015-01-13 by TLP and CRS
# Gel: 0.8% agarose with 0.01% ethidium bromide
# Run at 75 V for 50 min
row, lane, id, mg roots, notes
1, 1, 1 KB,,
1, 2, DaPu 30, 30.1,
1, 3, DaPu 50, 52.1,
1, 4, DaPu 70, 71.8,
1, 5, SiIn 30, 28.6,
1, 6, SiIn 50, 49.5,
1, 7, SiIn 70, 69.9,
1, 8,,,
2, 1, 1 KB,,
2, 2, AnGe 30, 34.1,
2, 3, AnGe 50, 52.4,
2, 4, AnGe 70, 69.8,
2, 5, TLP H2O,,
2, 6, CRS H2O,,
2, 7, ,,
2, 8,,,
