# CTAB-BC buffer comparison: 6 species root vouchers
# Extracted 2014-01-19 by TLP. 
# (CRS extracted an identical set in parallel -- these are on gel imaged 2015-01-21 19:58.)
# 30 mg tissue, two samples from each species.
# Samples 1-7, "K30": Buffer uses 5% PVPP and 2% PVP40 (K30) as published.
# Samples A-F, "K90": Buffer uses no PVPP and 2% PVP360 (K90) instead of PVP40.
# Gel: 0.8% agarose with 0.01% ethidium bromide
# Loaded 10 µL sample + 2 µL loading dye per lane
# Ladder: 2 µL 1 KB + 2 µL loading dye
# Run at 75 V for 50 min
row, lane, id, tube label, notes
1, 1, 1 KB, ,
1, 2, CaBi K90, TLP 1,
1, 3, PaIn K90, TLP 2,
1, 4, DaPu K90, TLP 3,
1, 5, SiIn K90, TLP 4,
1, 6, DeCa K90, TLP 5,
1, 7, AnGe K90, TLP 6,
1, 8, H2O K90, TLP 7,
2, 1, 1 KB, ,
2, 2, CaBi K30, TLP A,
2, 3, PaIn K30, TLP B,
2, 4, DaPu K30, TLP C,
2, 5, SiIn K30, TLP D,
2, 6, DeCa K30, TLP E,
2, 7, AnGe K30, TLP F,
2, 8, H2O K30, TLP G,
