# CTAB-BC on root vouchers
# Extracted 2014-01-22 by CRS
# 6 species @ 15 & 45 mg, 1 @ 30 mg to fill out batch
# (all '15 mg' landed w/in 0.8 mg of 18 mg, labeling them as 18 here)
# Gel: 0.8% agarose with 0.01% ethidium bromide
# Loaded 10 µL sample + 2 µL loading dye per lane
# Ladder: 2 µL 1 KB + 2 µL loading dye
# Run at 75 V for ~45 min (6:03 - ?)
row, lane, id, tube label, notes
1, 1, 1 KB, ,
1, 2, CaBi 18, 1,
1, 3, PaIn 18, 2,
1, 4, DeCa 18, 3,
1, 5, AsCa 18, 4,
1, 6, TaOf 18, 5,
1, 7, VeVi 18, 6,
1, 8, SiTe 30, 7,
2, 1, 1 KB, ,
2, 2, CaBi 46, A,
2, 3, PaIn 42, B,
2, 4, DeCa 43, C,
2, 5, AsCa 43, D,
2, 6, TaOf 46, E,
2, 7, VeVi 47, F,
2, 8, H2O, G,
