sample,CTAB date,Nanodrop date,Gel date,Tech,Species,minutes incubation,uL buffer,mg tissue
1,2015-05-22,2015-05-26,2015-05-27,CRS&CKB,AnGe,30,650,37.5
2,2015-05-22,2015-05-26,,CRS&CKB,AnGe,30,650,37.1
3,2015-05-22,2015-05-26,,CRS&CKB,AnGe,30,650,42.1
4,2015-05-22,2015-05-26,,CRS&CKB,AnGe,90,650,38.9
5,2015-05-22,2015-05-26,,CRS&CKB,AnGe,90,650,34.3
6,2015-05-22,2015-05-26,,CRS&CKB,AnGe,90,650,34.5
7,2015-05-22,2015-05-26,,CRS&CKB,AnGe,30,1300,39.5
8,2015-05-22,2015-05-26,,CRS&CKB,AnGe,30,1300,38.4
9,2015-05-22,2015-05-26,,CRS&CKB,AnGe,30,1300,35.5
10,2015-05-22,2015-05-26,,CRS&CKB,AnGe,90,1300,36.9
11,2015-05-22,2015-05-26,,CRS&CKB,AnGe,90,1300,36.7
12,2015-05-22,2015-05-26,,CRS&CKB,AnGe,90,1300,37.6
13,2015-05-22,2015-05-26,,CRS&CKB,SiIn,30,650,30.9
14,2015-05-22,2015-05-26,,CRS&CKB,SiIn,30,650,31.9
15,2015-05-22,2015-05-26,,CRS&CKB,SiIn,30,650,38.3
16,2015-05-22,2015-05-26,,CRS&CKB,SiIn,30,1300,41.3
17,2015-05-22,2015-05-26,,CRS&CKB,SiIn,30,1300,31.0
18,2015-05-22,2015-05-26,,CRS&CKB,SiIn,30,1300,30.6
19,2015-05-22,2015-05-26,,CRS&CKB,SiIn,90,650,41.3
20,2015-05-22,2015-05-26,,CRS&CKB,SiIn,90,650,38.7
21,2015-05-22,2015-05-26,,CRS&CKB,SiIn,90,650,39.1
22,2015-05-22,2015-05-26,,CRS&CKB,SiIn,90,1300,31.0
23,2015-05-22,2015-05-26,,CRS&CKB,SiIn,90,1300,37.7
24,2015-05-22,2015-05-26,,CRS&CKB,SiIn,90,1300,32.3
25,2015-05-22,2015-05-26,,CRS&CKB,DaPu,30,650,33.3
26,2015-05-22,2015-05-26,,CRS&CKB,DaPu,30,650,41.8
27,2015-05-22,2015-05-26,,CRS&CKB,DaPu,30,650,37.8
28,2015-05-22,2015-05-26,,CRS&CKB,DaPu,30,1300,35.0
29,2015-05-22,2015-05-26,,CRS&CKB,DaPu,30,1300,33.4
30,2015-05-22,2015-05-26,,CRS&CKB,DaPu,30,1300,39.8
31,2015-05-22,2015-05-26,,CRS&CKB,DaPu,90,650,34.5
32,2015-05-22,2015-05-26,,CRS&CKB,DaPu,90,650,35.8
33,2015-05-22,2015-05-26,,CRS&CKB,DaPu,90,650,39.0
34,2015-05-22,2015-05-26,,CRS&CKB,DaPu,90,1300,37.6
35,2015-05-22,2015-05-26,,CRS&CKB,DaPu,90,1300,38.4
36,2015-05-22,2015-05-26,,CRS&CKB,DaPu,90,1300,39.4
37,2015-05-22,2015-05-26,,CRS&CKB,H2O,30,1300,0.0
38,2015-05-22,2015-05-26,,CRS&CKB,H2O,90,1300,0.0
39,2015-05-22,2015-05-26,,CRS&CKB,H2O,30,650,0.0
40,2015-05-22,2015-05-26,,CRS&CKB,H2O,90,650,0.0
