Plate,Well,Block,Treatment,Sample,Upper,Lower,Weight,Notes,RunID,RunWeight,PctN,PctC,RunDate
1,A1,1,Prairie,4,30,50,31.23,,A1,31.23,0.07,0.52,2016-02-01
1,A2,0,Prairie,6,10,30,28.11,,A2,28.11,0.15,1.72,2016-02-01
1,A3,0,Prairie,7,0,10,28.48,,A3,28.48,0.17,2.00,2016-02-01
1,A4,0,Prairie,7,50,75,31.96,,A4,31.96,0.06,0.57,2016-02-01
1,A5,0,Prairie,2,75,100,27.78,,A5,27.78,0.05,0.28,2016-02-01
1,A6,0,Prairie,8,0,10,30.8,,A6,30.8,0.16,1.93,2016-02-01
1,A7,0,Prairie,1,75,100,30.41,,A7,30.41,0.06,0.50,2016-02-01
1,A8,0,Prairie,7,75,100,28.18,,A8,28.18,0.05,0.39,2016-02-01
1,A9,1,Prairie,1,0,10,31.99,,A9,31.99,0.15,1.76,2016-02-01
1,A10,0,Prairie,7,10,30,30.29,,A10,30.29,0.16,1.86,2016-02-01
1,A11,0,Prairie,7,30,50,31.1,,A11,31.1,0.09,0.96,2016-02-01
1,A12,Empty Capsule,,,,,,,,,,,2016-02-01
1,B1,0,Prairie,4,30,50,32.9,,B1,32.9,0.11,1.27,2016-02-01
1,B2,0,Prairie,6,30,50,29.16,,B2,29.16,0.13,1.47,2016-02-01
1,B3,0,Prairie,4,10,30,32.16,,B3,32.16,0.14,1.52,2016-02-01
1,B4,0,Prairie,1,0,10,30.86,,B4,30.88,0.13,1.48,2016-02-01
1,B5,1,Prairie,3,0,10,30.01,,B5,30.01,0.14,1.45,2016-02-01
1,B6,0,Prairie,4,0,10,30.89,,B6,30.89,0.14,1.61,2016-02-01
1,B7,0,Prairie,8,50,75,33.2,,B7,33.2,0.06,0.48,2016-02-01
1,B8,0,Prairie,1,10,30,32.57,,B8,32.57,0.13,1.41,2016-02-01
1,B9,1,Prairie,2,0,10,32.71,,B9,32.71,0.15,1.72,2016-02-01
1,B10,0,Prairie,1,50,75,31.56,,B10,31.56,0.08,0.68,2016-02-01
1,B11,0,Prairie,8,75,100,30.19,,B11,30.19,0.06,0.49,2016-02-01
1,B12,1,Prairie,3,75,100,31.53,,B12,31.53,0.05,0.35,2016-02-01
1,C1,1,Prairie,1,50,75,28.03,,C1,28.03,0.07,0.52,2016-02-01
1,C2,0,Prairie,8,30,50,29.31,,C2,29.31,0.09,0.85,2016-02-01
1,C3,3,Prairie,1,75,100,30.98,,C3,30.98,0.06,0.45,2016-02-01
1,C4,1,Prairie,2,75,100,31.74,,C4,31.74,0.03,2.16,2016-02-01
1,C5,0,Prairie,6,75,100,29.76,,C5,29.76,0.05,0.38,2016-02-01
1,C6,0,Prairie,2,50,75,31.97,,C6,31.97,0.06,0.45,2016-02-01
1,C7,0,Prairie,5,50,75,30,,C7,30,0.08,0.77,2016-02-01
1,C8,1,Prairie,4,10,30,31.28,,C8,31.28,0.10,1.06,2016-02-01
1,C9,1,Prairie,1,30,50,28.26,,C9,28.26,0.11,1.09,2016-02-01
1,C10,4,Prairie,2,0,10,32.09,,C10,32.09,0.16,1.82,2016-02-01
1,C11,1,Prairie,2,10,30,29.33,,C11,29.33,0.14,1.48,2016-02-01
1,C12,0,Prairie,3,30,50,29.32,,C12,29.32,0.07,0.58,2016-02-01
1,D1,0,Prairie,2,10,30,30.22,,D1,30.22,0.10,1.03,2016-02-01
1,D2,0,Prairie,3,75,100,31.05,,D2,31.05,0.05,0.44,2016-02-01
1,D3,0,Prairie,3,0,10,28.51,,D3,28.51,0.16,1.69,2016-02-01
1,D4,1,Prairie,4,75,100,30.76,,D4,30.76,0.05,0.29,2016-02-01
1,D5,0,Prairie,6,0,10,30.88,,D5,30.88,0.13,1.60,2016-02-01
1,D6,1,Prairie,4,50,75,31.1,,D6,31.1,0.06,0.39,2016-02-01
1,D7,Empty Capsule,,,,,,,,,,,2016-02-01
1,D8,1,Prairie,3,50,75,30.36,,D8,30.36,0.06,0.37,2016-02-01
1,D9,0,Prairie,3,10,30,30.97,,D9,30.97,0.11,1.06,2016-02-01
1,D10,0,Prairie,2,30,50,28.9,,D10,28.9,0.06,0.52,2016-02-01
1,D11,4,Prairie,3,30,50,30.25,,D11,30.25,0.13,1.45,2016-02-01
1,D12,4,Prairie,4,0,10,29.95,,D12,29.95,0.17,1.88,2016-02-01
1,E1,3,Prairie,4,30,50,31.1,,E1,31.1,0.16,1.96,2016-02-10
1,E2,2,Prairie,2,0,10,29.56,,E2,29.56,0.14,1.73,2016-02-10
1,E3,3,Prairie,2,30,50,28.13,,E3,28.13,0.14,1.62,2016-02-10
1,E4,2,Prairie,4,50,75,28.44,,E4,28.44,0.06,0.53,2016-02-10
1,E5,2,Prairie,2,50,75,32.43,,E5,32.43,0.06,0.60,2016-02-10
1,E6,2,Prairie,3,30,50,28.84,,E6,28.84,0.13,1.48,2016-02-10
1,E7,4,Prairie,3,0,10,31.42,,E7,31.42,0.14,1.67,2016-02-10
1,E8,4,Prairie,1,10,30,29.54,,E8,29.54,0.12,1.34,2016-02-10
1,E9,4,Prairie,1,0,10,32.4,,E9,32.4,0.13,1.51,2016-02-10
1,E10,4,Prairie,3,50,75,29.59,,E10,29.59,0.08,0.81,2016-02-10
1,E11,4,Prairie,4,50,75,30.3,,E11,30.3,0.06,0.48,2016-02-10
1,E12,0,Prairie,5,30,50,29.1,,E12,29.1,0.13,1.52,2016-02-10
1,F1,2,Prairie,3,0,10,31.4,,F1,31.4,0.18,2.26,2016-02-10
1,F2,2,Prairie,4,75,100,29.74,,F2,29.74,0.05,0.35,2016-02-10
1,F3,2,Prairie,1,0,10,31.444,,F3,31.444,0.15,1.90,2016-02-10
1,F4,2,Prairie,1,30,50,30.978,,F4,30.978,0.11,1.52,2016-02-10
1,F5,3,Prairie,2,75,100,37.89,,F5,37.89,0.06,0.45,2016-02-10
1,F6,0,Prairie,4,75,100,43.471,,F6,43.471,0.05,0.46,2016-02-10
1,F7,2,Prairie,4,30,50,34.734,,F7,34.734,0.12,1.37,2016-02-10
1,F8,3,Prairie,4,10,30,30.057,,F8,30.057,0.17,1.92,2016-02-10
1,F9,3,Prairie,1,10,30,32.487,,F9,32.487,0.15,1.82,2016-02-10
1,F10,2,Prairie,2,10,30,34.35,,F10,34.35,0.12,1.41,2016-02-10
1,F11,0,Prairie,5,75,100,41.343,,F11,41.343,0.05,0.39,2016-02-10
1,F12,1,Prairie,2,50,75,41.99,,F12,41.99,0.06,0.46,2016-02-10
1,G1,4,Prairie,4,10,30,33.867,,G1,33.867,0.14,1.56,2016-02-10
1,G2,1,Prairie,3,30,50,41.706,,G2,41.706,0.06,0.55,2016-02-10
1,G3,4,Prairie,2,30,50,33.584,,G3,33.584,0.09,0.98,2016-02-10
1,G4,3,Prairie,1,30,50,34.051,,G4,34.051,0.13,1.47,2016-02-10
1,G5,0,Prairie,2,0,10,31.251,,G5,31.251,0.13,1.46,2016-02-10
1,G6,0,Prairie,5,0,10,31.166,,G6,31.166,0.15,1.83,2016-02-10
1,G7,4,Prairie,3,75,100,40.362,,G7,40.362,0.04,0.41,2016-02-10
1,G8,0,Prairie,8,10,30,35.425,,G8,35.425,0.14,1.57,2016-02-10
1,G9,0,Prairie,5,10,30,39.219,,G9,39.219,0.13,1.55,2016-02-10
1,G10,1,Prairie,3,10,30,30.144,,G10,30.144,0.10,1.12,2016-02-10
1,G11,1,Prairie,1,10,30,38.076,,G11,38.076,0.14,1.58,2016-02-10
1,G12,0,Prairie,4,50,75,43.454,,G12,43.454,0.07,0.80,2016-02-10
1,H1,1,Prairie,4,0,10,33.226,,H1,33.226,0.13,1.48,2016-02-10
1,H2,4,Prairie,2,10,30,32.296,,H2,32.296,0.14,1.63,2016-02-10
1,H3,4,Prairie,4,30,50,31.3,,H3,31.3,0.10,1.03,2016-02-10
1,H4,3,Prairie,2,10,30,33.189,,H4,33.189,0.17,2.02,2016-02-10
1,H5,3,Prairie,3,30,50,30.313,,H5,30.313,0.10,0.98,2016-02-10
1,H6,4,Prairie,3,10,30,32.097,,H6,32.097,0.14,1.57,2016-02-10
1,H7,0,Prairie,6,50,75,42.05,,H7,42.05,0.08,1.02,2016-02-10
1,H8,4,Prairie,1,30,50,38.528,,H8,38.528,0.08,0.88,2016-02-10
1,H9,0,Prairie,2,75,100,39.128,,H9,39.128,0.04,0.41,2016-02-10
1,H10,3,Prairie,2,50,75,37.01,,H10,37.01,0.08,0.82,2016-02-10
1,H11,3,Prairie,2,0,10,32.949,,H11,32.949,0.18,2.35,2016-02-10
1,H12,3,Prairie,4,0,10,33.068,,H12,33.068,0.18,2.19,2016-02-10
2,A1,2,Prairie,4,0,10,30.11,,A1,30.11,0.16,1.94,2016-02-15
2,A2,4,Prairie,2,75,100,45.685,,A2,45.685,0.06,0.44,2016-02-15
2,A3,4,Prairie,4,75,100,37.378,,A3,37.378,0.05,0.37,2016-02-15
2,A4,3,Prairie,4,75,100,42.335,,A4,42.335,0.07,1.00,2016-02-15
2,A5,2,Prairie,1,75,100,39.399,,A5,39.399,0.05,0.42,2016-02-15
2,A6,3,Prairie,3,50,75,38.922,,A6,38.922,0.07,0.54,2016-02-15
2,A7,3,Prairie,1,50,75,38.422,,A7,38.422,0.07,0.61,2016-02-15
2,A8,1,Prairie,1,75,100,41.004,,A8,41.004,0.05,0.38,2016-02-15
2,A9,4,Prairie,2,50,75,42.285,,A9,42.285,0.06,0.52,2016-02-15
2,A10,0,Prairie,3,50,75,42.734,,A10,42.734,0.05,0.43,2016-02-15
2,A11,0,Prairie,1,30,50,28.309,,A11,28.309,0.09,0.92,2016-02-15
2,A12,2,Prairie,3,75,100,41.712,,A12,41.712,0.06,0.49,2016-02-15
2,B1,4,Prairie,1,75,100,39.307,,B1,39.307,0.05,0.39,2016-02-15
2,B2,3,Prairie,3,75,100,42.963,,B2,42.963,0.05,0.35,2016-02-15
2,B3,2,Prairie,4,10,30,31.353,,B3,31.353,0.15,1.82,2016-02-15
2,B4,2,Prairie,3,50,75,42.053,,B4,42.053,0.08,0.78,2016-02-15
2,B5,2,Prairie,1,50,75,42.419,,B5,42.419,0.07,0.76,2016-02-15
2,B6,3,Prairie,3,0,10,28.881,,B6,28.881,0.17,2.04,2016-02-15
2,B7,3,Prairie,4,50,75,41.68,,B7,41.68,0.09,1.15,2016-02-15
2,B8,2,Prairie,3,10,30,32.277,,B8,32.277,0.16,1.91,2016-02-15
2,B9,3,Prairie,3,10,30,32.25,,B9,32.25,0.15,1.66,2016-02-15
2,B10,1,Prairie,2,30,50,34.695,,B10,34.695,0.09,0.91,2016-02-15
2,B11,2,Prairie,1,10,30,31.145,,B11,31.145,0.16,2.36,2016-02-15
2,B12,3,Prairie,1,0,10,30.916,,B12,30.916,0.17,2.09,2016-02-15
2,C1,4,Prairie,1,50,75,39.276,,C1,39.276,0.05,0.45,2016-02-15
2,C2,2,Prairie,2,30,50,37.26,,C2,37.26,0.10,1.12,2016-02-15
2,C3,4,Prairie,1,75,100,42.741,DUP,C3,42.741,0.05,0.38,2016-02-15
2,C4,4,Prairie,3,10,30,31.742,DUP,C4,31.742,0.14,1.54,2016-02-15
2,C5,0,Prairie,1,30,50,36.25,DUP,C5,36.25,0.09,0.93,2016-02-15
2,C6,2,Prairie,3,10,30,34.475,DUP,C6,34.475,0.16,1.88,2016-02-15
2,C7,1,Prairie,2,30,50,35.021,DUP,C7,35.021,0.09,0.90,2016-02-15
