plate,row,col,sample,mg,notes
1,A,1,1p4 30-50,31.23,
1,A,2,0p6 10-30,28.11,
1,A,3,0p7 0-10,28.48,
1,A,4,0p7 50-75,31.96,
1,A,5,0p2 75-100,27.78,
1,A,6,0p8 0-10,30.80,
1,A,7,0p1 75-100,30.41,
1,A,8,0p7 75-100,28.18,
1,A,9,1p1 0-10,31.99,
1,A,10,0p7 10-30,30.29,
1,A,11,0p7 30-50,31.10,
1,A,12,empty tin capsule,0.00,Capsule weight: 34.04 mg
1,B,1,0p4 30-50,32.90,
1,B,2,0p6 30-50,29.16,
1,B,3,0p4 10-30,32.16,
1,B,4,0p1 0-10,30.86,
1,B,5,1p3 0-10,30.01,
1,B,6,0p4 0-10,30.89,
1,B,7,0p8 50-75,33.20,
1,B,8,0p1 10-30,32.57,
1,B,9,1p2 0-10,32.71,
1,B,10,0p1 50-75,31.56,
1,B,11,0p8 75-100,30.19,
1,B,12,1p3 75-100,31.53,
1,C,1,1p1 50-75,28.03,
1,C,2,0p8 30-50,29.31,
1,C,3,3p1 75-100,30.98,
1,C,4,1p2 75-100,31.74,
1,C,5,0p6 75-100,29.76,
1,C,6,0p2 50-75,31.97,
1,C,7,0p5 50-75,30.00,
1,C,8,1p4 10-30,31.28,
1,C,9,1p1 30-50,28.26,
1,C,10,4p2 0-10,32.09,
1,C,11,1p2 10-30,29.33,
1,C,12,0p3 30-50,29.32,
1,D,1,0p2 10-30,30.22,
1,D,2,0p3 75-100,31.05,
1,D,3,0p3 0-10,28.51,
1,D,4,1p4 75-100,30.76,
1,D,5,0p6 0-10,30.88,
1,D,6,1p4 50-75,31.10,
1,D,7,empty tin capsule,0.00,Capsule weight: 34.12 mg. Last capsule from the box used to weigh samples B9-D6.
1,D,8,,,
1,D,9,,,
1,D,10,,,
1,D,11,,,
1,D,12,,,
1,E,1,,,
1,E,2,,,
1,E,3,,,
1,E,4,,,
1,E,5,,,
1,E,6,,,
1,E,7,,,
1,E,8,,,
1,E,9,,,
1,E,10,,,
1,E,11,,,
1,E,12,,,
1,F,1,,,
1,F,2,,,
1,F,3,,,
1,F,4,,,
1,F,5,,,
1,F,6,,,
1,F,7,,,
1,F,8,,,
1,F,9,,,
1,F,10,,,
1,F,11,,,
1,F,12,,,
1,G,1,,,
1,G,2,,,
1,G,3,,,
1,G,4,,,
1,G,5,,,
1,G,6,,,
1,G,7,,,
1,G,8,,,
1,G,9,,,
1,G,10,,,
1,G,11,,,
1,G,12,,,
1,H,1,,,
1,H,2,,,
1,H,3,,,
1,H,4,,,
1,H,5,,,
1,H,6,,,
1,H,7,,,
1,H,8,,,
1,H,9,,,
1,H,10,,,
1,H,11,,,
1,H,12,,,
2,A,1,,,
2,A,2,,,
2,A,3,,,
2,A,4,,,
2,A,5,,,
2,A,6,,,
2,A,7,,,
2,A,8,,,
2,A,9,,,
2,A,10,,,
2,A,11,,,
2,A,12,,,
2,B,1,,,
2,B,2,,,
2,B,3,,,
2,B,4,,,
2,B,5,,,
2,B,6,,,
2,B,7,,,
2,B,8,,,
2,B,9,,,
2,B,10,,,
2,B,11,,,
2,B,12,,,
2,C,1,,,
2,C,2,,,
2,C,3,,,
2,C,4,,,
2,C,5,,,
2,C,6,,,
2,C,7,,,
2,C,8,,,
2,C,9,,,
2,C,10,,,
2,C,11,,,
2,C,12,,,
2,D,1,,,
2,D,2,,,
2,D,3,,,
2,D,4,,,
2,D,5,,,
2,D,6,,,
2,D,7,,,
2,D,8,,,
2,D,9,,,
2,D,10,,,
2,D,11,,,
2,D,12,,,
2,E,1,,,
2,E,2,,,
2,E,3,,,
2,E,4,,,
2,E,5,,,
2,E,6,,,
2,E,7,,,
2,E,8,,,
2,E,9,,,
2,E,10,,,
2,E,11,,,
2,E,12,,,
2,F,1,,,
2,F,2,,,
2,F,3,,,
2,F,4,,,
2,F,5,,,
2,F,6,,,
2,F,7,,,
2,F,8,,,
2,F,9,,,
2,F,10,,,
2,F,11,,,
2,F,12,,,
2,G,1,,,
2,G,2,,,
2,G,3,,,
2,G,4,,,
2,G,5,,,
2,G,6,,,
2,G,7,,,
2,G,8,,,
2,G,9,,,
2,G,10,,,
2,G,11,,,
2,G,12,,,
2,H,1,,,
2,H,2,,,
2,H,3,,,
2,H,4,,,
2,H,5,,,
2,H,6,,,
2,H,7,,,
2,H,8,,,
2,H,9,,,
2,H,10,,,
2,H,11,,,
2,H,12,,,
