Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
Plate1-A1-CRS	Default	6/24/2015	09:47	41.79	0.836	0.442	1.89	1.14	50.00	230	0.731	0.005
Plate1-A2-CRS	Default	6/24/2015	09:49	28.39	0.568	0.290	1.96	0.89	50.00	230	0.637	0.023
Plate1-A3-CRS	Default	6/24/2015	09:50	15.23	0.305	0.148	2.06	0.64	50.00	230	0.475	0.029
Plate1-A4-CRS	Default	6/24/2015	09:52	9.12	0.182	0.078	2.33	0.51	50.00	230	0.358	0.012
Plate1-A5-CRS	Default	6/24/2015	09:54	10.08	0.202	0.095	2.13	0.47	50.00	230	0.433	0.007
Plate1-A6-CRS	Default	6/24/2015	09:55	48.09	0.962	0.483	1.99	1.19	50.00	230	0.811	0.027
Plate1-A7-CRS	Default	6/24/2015	09:56	49.86	0.997	0.530	1.88	1.08	50.00	230	0.925	0.128
Plate1-A8-CRS	Default	6/24/2015	09:57	17.43	0.349	0.170	2.05	0.68	50.00	230	0.511	0.020
Plate1-A10-CRS	Default	6/24/2015	09:58	12.14	0.243	0.119	2.04	0.53	50.00	230	0.463	0.073
Plate1-A9-CRS	Default	6/24/2015	09:59	10.67	0.213	0.115	1.85	0.51	50.00	230	0.416	0.002
Plate1-A11-CRS	Default	6/24/2015	10:00	40.84	0.817	0.426	1.92	1.09	50.00	230	0.750	0.034
Plate1-A12-CRS	Default	6/24/2015	10:01	33.79	0.676	0.346	1.95	1.11	50.00	230	0.608	0.036
Plate1-B1-CRS	Default	6/24/2015	10:07	14.48	0.290	0.153	1.89	0.57	50.00	230	0.504	0.023
Plate1-B2-CRS	Default	6/24/2015	10:08	15.88	0.318	0.164	1.94	0.58	50.00	230	0.552	0.006
Plate1-B3-CRS	Default	6/24/2015	10:11	5.02	0.100	0.027	3.71	0.24	50.00	230	0.413	0.005
Plate1-B4-CRS	Default	6/24/2015	10:12	13.60	0.272	0.124	2.20	0.51	50.00	230	0.531	0.022
Plate1-B5-CRS	Default	6/24/2015	10:13	62.34	1.247	0.653	1.91	1.32	50.00	230	0.943	0.023
Plate1-B6-CRS	Default	6/24/2015	10:15	28.73	0.575	0.287	2.00	0.87	50.00	230	0.660	0.008
Plate1-B7-CRS	Default	6/24/2015	10:16	266.46	5.329	2.821	1.89	1.87	50.00	230	2.854	0.055
Plate1-B8-CRS	Default	6/24/2015	10:17	72.43	1.449	0.744	1.95	1.43	50.00	230	1.010	0.008
Plate1-B10-CRS	Default	6/24/2015	10:18	22.58	0.452	0.235	1.92	0.71	50.00	230	0.636	0.052
Plate1-B9-CRS	Default	6/24/2015	10:19	21.49	0.430	0.210	2.05	0.72	50.00	230	0.595	0.015
Plate1-B11-CRS	Default	6/24/2015	10:20	16.91	0.338	0.151	2.24	0.64	50.00	230	0.530	-0.003
Plate1-B12-CRS	Default	6/24/2015	10:22	210.67	4.213	2.204	1.91	1.84	50.00	230	2.290	0.019
Plate1-H1-CRS	Default	6/24/2015	10:23	38.52	0.770	0.400	1.93	1.09	50.00	230	0.705	0.031
Plate1-H2-CRS	Default	6/24/2015	10:25	33.77	0.675	0.347	1.94	1.17	50.00	230	0.577	0.001
Plate1-H3-CRS	Default	6/24/2015	10:26	12.60	0.252	0.117	2.15	4.63	50.00	230	0.054	-0.002
Plate1-H3-CRS	Default	6/24/2015	10:28	0.00	0.000	0.000	NaN	NaN	50.00	230	0.000	0.000
Plate1-H3-CRS	Default	6/24/2015	10:29	19.10	0.382	0.191	2.00	0.76	50.00	230	0.505	0.006
Plate1-H4-CRS	Default	6/24/2015	10:30	10.43	0.209	0.098	2.14	0.51	50.00	230	0.412	0.015
Plate1-H5-CRS	Default	6/24/2015	10:31	18.64	0.373	0.181	2.06	0.80	50.00	230	0.466	0.016
