Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
H2O	Default	1/27/2015	05:40	0.16	0.003	0.008	0.39	-0.77	50.00	230	-0.004	-0.004
CRS 01A	Default	1/27/2015	05:42	40.37	0.807	0.453	1.78	0.23	50.00	230	3.570	0.147
CRS 01B	Default	1/27/2015	05:52	65.88	1.318	0.691	1.91	0.32	50.00	230	4.163	0.141
CRS 11A	Default	1/27/2015	05:58	75.84	1.517	0.770	1.97	1.02	50.00	230	1.491	0.072
CRS 11B	Default	1/27/2015	06:01	62.00	1.240	0.612	2.03	0.89	50.00	230	1.398	0.070
CRS 21A	Default	1/27/2015	06:05	100.34	2.007	1.279	1.57	0.32	50.00	230	6.208	0.487
CRS 21B	Default	1/27/2015	06:08	81.64	1.633	0.802	2.04	1.05	50.00	230	1.558	0.087
CRS 02A	Default	1/27/2015	06:11	154.63	3.093	1.531	2.02	1.35	50.00	230	2.291	0.143
CRS 02B	Default	1/27/2015	06:14	46.07	0.921	0.460	2.00	0.67	50.00	230	1.372	0.088
CRS 02B.1	Default	1/27/2015	06:16	43.40	0.868	0.432	2.01	0.67	50.00	230	1.292	0.076
CRS 12A	Default	1/27/2015	06:20	181.78	3.636	1.824	1.99	1.11	50.00	230	3.290	0.361
CRS 12B	Default	1/27/2015	06:22	184.86	3.697	1.847	2.00	1.45	50.00	230	2.546	0.202
CRS 22A	Default	1/27/2015	06:32	186.28	3.726	1.917	1.94	1.19	50.00	230	3.129	0.380
CRS 22B	Default	1/27/2015	06:35	128.84	2.577	1.333	1.93	1.02	50.00	230	2.525	0.352
CRS 03A	Default	1/27/2015	06:38	131.49	2.630	0.883	2.98	0.45	50.00	230	5.816	0.202
CRS 03B	Default	1/27/2015	06:41	110.31	2.206	0.667	3.31	0.36	50.00	230	6.078	0.055
CRS 13A	Default	1/27/2015	06:43	183.17	3.663	1.351	2.71	0.52	50.00	230	7.018	0.290
CRS 13B	Default	1/27/2015	06:46	306.86	6.137	2.110	2.91	0.56	50.00	230	11.014	0.202
CRS 23A	Default	1/27/2015	06:49	183.76	3.675	1.631	2.25	0.62	50.00	230	5.900	0.414
CRS 23B	Default	1/27/2015	06:52	183.20	3.664	1.449	2.53	0.58	50.00	230	6.353	0.286
CRS 34A	Default	1/27/2015	06:55	3.12	0.062	0.032	1.96	0.05	50.00	230	1.357	-0.002
H2O	Default	1/27/2015	06:57	0.52	0.010	0.020	0.51	0.42	50.00	230	0.025	-0.002
