Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
H2O	Default	1/23/2015	05:02	-0.39	-0.008	-0.008	0.94	6.26	50.00	230	-0.001	-0.030
CRS 1	Default	1/23/2015	05:06	7.32	0.146	0.066	2.21	0.12	50.00	230	1.261	0.069
CRS 2	Default	1/23/2015	05:08	6.31	0.126	0.078	1.61	0.11	50.00	230	1.172	0.049
CRS 3	Default	1/23/2015	05:09	42.81	0.856	0.381	2.25	0.71	50.00	230	1.198	0.010
CRS 4	Default	1/23/2015	05:10	158.55	3.171	1.437	2.21	1.30	50.00	230	2.437	-0.008
CRS 5	Default	1/23/2015	05:12	178.64	3.573	1.633	2.19	1.45	50.00	230	2.460	0.066
CRS 6	Default	1/23/2015	05:14	35.92	0.718	0.354	2.03	0.40	50.00	230	1.788	0.059
CRS 7	Default	1/23/2015	05:15	3.84	0.077	0.029	2.62	0.09	50.00	230	0.839	-0.002
H2O	Default	1/23/2015	05:16	-0.12	-0.002	-0.011	0.22	-0.67	50.00	230	0.004	-0.026
CRS A	Default	1/23/2015	05:17	119.78	2.396	1.128	2.12	1.23	50.00	230	1.949	0.101
CRS B	Default	1/23/2015	05:19	108.56	2.171	1.016	2.14	1.06	50.00	230	2.046	0.099
CRS C	Default	1/23/2015	05:20	109.28	2.186	0.995	2.20	1.30	50.00	230	1.675	-0.006
CRS D	Default	1/23/2015	05:22	302.16	6.043	2.772	2.18	1.84	50.00	230	3.282	-0.010
CRS E	Default	1/23/2015	05:24	346.47	6.929	3.380	2.05	1.58	50.00	230	4.393	0.617
CRS F	Default	1/23/2015	05:25	52.34	1.047	0.508	2.06	0.76	50.00	230	1.381	0.033
CRS G	Default	1/23/2015	05:26	3.20	0.064	0.032	2.00	0.05	50.00	230	1.324	-0.033
H2O	Default	1/23/2015	05:28	-0.14	-0.003	0.000	-30.28	-0.17	50.00	230	0.016	-0.023
