Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
H2O	Default	1/30/2015	02:40	1.05	0.021	0.032	0.67	0.77	50.00	230	0.027	0.013
CRS 1A	Default	1/30/2015	02:42	84.19	1.684	0.870	1.94	0.86	50.00	230	1.958	0.193
CRS 2A	Default	1/30/2015	02:45	186.48	3.730	1.812	2.06	1.40	50.00	230	2.672	0.318
CRS 3A	Default	1/30/2015	02:48	358.25	7.165	3.779	1.90	1.26	50.00	230	5.701	1.278
CRS 1B	Default	1/30/2015	02:52	107.28	2.146	1.066	2.01	0.96	50.00	230	2.226	0.200
CRS 2B	Default	1/30/2015	02:54	166.15	3.323	1.613	2.06	1.27	50.00	230	2.621	0.269
CRS 3B	Default	1/30/2015	02:57	214.02	4.280	2.150	1.99	1.11	50.00	230	3.854	0.586
CRS 1C	Default	1/30/2015	02:59	201.25	4.025	1.882	2.14	1.51	50.00	230	2.663	0.069
CRS 2C	Default	1/30/2015	03:02	382.24	7.645	3.615	2.12	1.77	50.00	230	4.321	0.113
CRS 3C	Default	1/30/2015	03:05	298.44	5.969	2.806	2.13	1.74	50.00	230	3.438	0.067
CRS 1D	Default	1/30/2015	03:08	314.12	6.282	3.597	1.75	1.11	50.00	230	5.680	2.624
CRS 2D	Default	1/30/2015	03:11	239.78	4.796	2.368	2.02	1.45	50.00	230	3.317	0.477
CRS 3D	Default	1/30/2015	03:14	460.71	9.214	5.066	1.82	1.36	50.00	230	6.763	2.885
CRS 4E	Default	1/30/2015	03:18	4.09	0.082	0.050	1.65	0.07	50.00	230	1.156	-0.005
