Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
1x TE	Default	5/26/2015	12:46	1.22	0.024	0.020	1.21	0.03	50.00	230	0.705	0.000
CRS 40	Default	5/26/2015	01:46	7.02	0.140	0.060	2.35	0.06	50.00	230	2.450	-0.008
CRS 38A	Default	5/26/2015	01:49	10.92	0.218	0.071	3.07	0.12	50.00	230	1.856	-0.008
CRS 31	Default	5/26/2015	01:50	467.21	9.344	3.908	2.39	0.63	50.00	230	14.836	0.464
CRS 36A	Default	5/26/2015	01:53	438.14	8.763	2.981	2.94	0.55	50.00	230	15.898	0.391
CRS 36B	Default	5/26/2015	01:54	256.04	5.121	1.625	3.15	0.45	50.00	230	11.460	0.099
CRS 36B.1	Default	5/26/2015	01:55	262.06	5.241	1.730	3.03	0.48	50.00	230	11.011	0.092
CRS 24	Default	5/26/2015	01:57	251.03	5.021	2.464	2.04	1.25	50.00	230	4.024	0.331
CRS 24A	Default	5/26/2015	01:57	271.95	5.439	2.685	2.03	1.28	50.00	230	4.242	0.389
CRS 24B	Default	5/26/2015	01:58	164.51	3.290	1.609	2.04	1.02	50.00	230	3.231	0.250
CRS 25	Default	5/26/2015	02:04	252.82	5.056	2.115	2.39	0.56	50.00	230	8.980	2.020
CRS 20	Default	5/26/2015	02:06	196.68	3.934	2.055	1.91	1.01	50.00	230	3.891	0.793
CRS 37B	Default	5/26/2015	02:07	4.75	0.095	0.021	4.49	0.08	50.00	230	1.152	-0.021
CRS 23B	Default	5/26/2015	02:08	110.28	2.206	1.083	2.04	0.92	50.00	230	2.396	0.224
CRS 35B	Default	5/26/2015	02:11	263.92	5.278	1.760	3.00	0.47	50.00	230	11.135	0.169
CRS 5	Default	5/26/2015	02:12	145.69	2.914	1.531	1.90	0.94	50.00	230	3.099	0.743
CRS 22A	Default	5/26/2015	02:13	181.41	3.628	1.832	1.98	0.91	50.00	230	3.996	0.490
CRS 19	Default	5/26/2015	02:14	240.95	4.819	2.565	1.88	0.95	50.00	230	5.073	1.324
CRS 10B	Default	5/26/2015	02:16	70.62	1.412	0.723	1.95	0.88	50.00	230	1.603	0.123
CRS 10B.1	Default	5/26/2015	02:17	70.34	1.407	0.700	2.01	0.88	50.00	230	1.592	0.130
CRS 21	Default	5/26/2015	02:18	266.16	5.323	2.682	1.98	1.13	50.00	230	4.709	0.998
CRS 38B	Default	5/26/2015	02:19	12.57	0.251	0.082	3.06	0.11	50.00	230	2.352	0.008
CRS 29A	Default	5/26/2015	02:21	105.15	2.103	0.728	2.89	0.43	50.00	230	4.857	0.074
CRS 8A	Default	5/26/2015	02:22	37.93	0.759	0.372	2.04	0.52	50.00	230	1.469	0.080
CRS 8A.1	Default	5/26/2015	02:23	34.78	0.696	0.324	2.15	0.52	50.00	230	1.339	0.040
H2O	Default	5/26/2015	02:24	-0.19	-0.004	-0.017	0.22	0.18	50.00	230	-0.021	-0.010
35A	Default	5/26/2015	02:25	337.23	6.745	2.841	2.37	0.57	50.00	230	11.921	0.289
CRS 6	Default	5/26/2015	02:27	184.86	3.697	1.943	1.90	0.88	50.00	230	4.223	0.972
CRS 6	Default	5/26/2015	02:44	-0.40	-0.008	-0.054	0.15	0.02	50.00	230	-0.375	-1.060
CRS 6	Default	5/26/2015	02:46	0.00	0.000	0.000	NaN	NaN	50.00	230	0.000	0.000
CRS 17B	Default	5/26/2015	02:47	88.76	1.775	0.881	2.01	0.82	50.00	230	2.169	0.188
CRS 23A	Default	5/26/2015	02:48	115.95	2.319	1.152	2.01	0.98	50.00	230	2.358	0.233
CRS 2	Default	5/26/2015	02:49	96.93	1.939	0.977	1.98	0.76	50.00	230	2.562	0.233
CRS H2O	Default	5/26/2015	02:50	0.13	0.003	0.015	0.17	-1.00	50.00	230	-0.003	0.005
CRS 34A	Default	5/26/2015	02:51	326.44	6.529	2.592	2.52	0.55	50.00	230	11.841	0.249
CRS 4	Default	5/26/2015	02:52	171.62	3.432	1.759	1.95	1.13	50.00	230	3.035	0.486
CRS 30A	Default	5/26/2015	02:54	118.51	2.370	0.833	2.85	0.43	50.00	230	5.486	0.109
CRS 17A	Default	5/26/2015	02:56	86.13	1.723	0.851	2.02	0.87	50.00	230	1.982	0.148
CRS 22B	Default	5/26/2015	03:01	268.56	5.371	2.674	2.01	1.25	50.00	230	4.294	0.484
CRS 37A	Default	5/26/2015	03:03	67.93	1.359	0.554	2.45	0.29	50.00	230	4.646	0.010
CRS H2O	Default	5/26/2015	03:04	-0.44	-0.009	-0.021	0.42	0.55	50.00	230	-0.016	-0.002
CRS 37A.1	Default	5/26/2015	03:05	64.52	1.290	0.528	2.44	0.31	50.00	230	4.210	0.016
CRS 16A	Default	5/26/2015	03:13	57.78	1.156	0.574	2.01	0.71	50.00	230	1.620	0.127
CRS 7B	Default	5/26/2015	03:15	48.77	0.975	0.479	2.04	0.49	50.00	230	1.973	0.083
CRS 3	Default	5/26/2015	03:16	53.82	1.076	0.683	1.58	0.42	50.00	230	2.535	0.463
CRS 18A	Default	5/26/2015	03:17	113.59	2.272	1.140	1.99	0.88	50.00	230	2.569	0.267
