Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
H2O	Default	1/21/2015	04:40	-1.94	-0.039	-0.025	1.55	7.30	50.00	230	-0.005	-0.021
CRS 1	Default	1/21/2015	04:44	137.63	2.753	2.060	1.34	0.49	50.00	230	5.634	17.355
H2O	Default	1/21/2015	04:45	-1.62	-0.032	-0.027	1.22	9.69	50.00	230	-0.003	-0.025
H2O	Default	1/21/2015	05:34	-2.19	-0.044	-0.031	1.41	1.45	50.00	230	-0.030	-0.029
H2O	Default	1/21/2015	05:35	0.00	0.000	0.000	NaN	NaN	50.00	230	0.000	0.000
H2O	Default	1/21/2015	05:36	-0.40	-0.008	-0.019	0.43	-0.19	50.00	230	0.043	0.015
H2O	Default	1/21/2015	05:36	0.00	0.000	0.000	NaN	NaN	50.00	230	0.000	0.000
H2O	Default	1/21/2015	05:37	0.33	0.007	-0.005	-1.23	1.68	50.00	230	0.004	-0.003
CRS 1.1	Default	1/21/2015	05:38	118.31	2.366	1.937	1.22	0.43	50.00	230	5.548	12.653
CRS 2	Default	1/21/2015	05:39	155.40	3.108	1.594	1.95	0.89	50.00	230	3.505	1.246
CRS 3	Default	1/21/2015	05:41	255.98	5.120	1.814	2.82	0.57	50.00	230	9.048	0.187
CRS 4	Default	1/21/2015	05:43	247.52	4.950	2.462	2.01	1.44	50.00	230	3.433	0.481
CRS 5	Default	1/21/2015	05:45	113.12	2.262	1.074	2.11	1.10	50.00	230	2.058	0.148
CRS 6	Default	1/21/2015	05:46	42.49	0.850	0.480	1.77	0.29	50.00	230	2.922	0.184
CRS 7	Default	1/21/2015	05:47	2.30	0.046	0.032	1.44	0.06	50.00	230	0.759	-0.009
H2O	Default	1/21/2015	05:49	-0.01	-0.000	-0.026	0.01	-0.00	50.00	230	0.059	0.001
H2O.2	Default	1/21/2015	05:49	0.59	0.012	0.006	1.93	2.05	50.00	230	0.006	0.006
H2O.3	Default	1/21/2015	05:50	-0.33	-0.007	-0.013	0.49	0.44	50.00	230	-0.015	0.008
CRS A	Default	1/21/2015	05:52	47.56	0.951	0.588	1.62	0.34	50.00	230	2.784	0.438
CRS B	Default	1/21/2015	05:53	168.78	3.376	1.655	2.04	1.19	50.00	230	2.826	0.566
CRS C	Default	1/21/2015	05:56	302.97	6.059	2.413	2.51	0.75	50.00	230	8.083	0.152
CRS D	Default	1/21/2015	05:57	221.91	4.438	2.192	2.03	1.54	50.00	230	2.878	0.274
CRS E	Default	1/21/2015	05:58	134.85	2.697	1.272	2.12	1.15	50.00	230	2.336	0.150
CRS F	Default	1/21/2015	06:00	187.88	3.758	1.881	2.00	1.23	50.00	230	3.051	0.289
CRS G	Default	1/21/2015	06:01	1.97	0.039	0.025	1.57	0.05	50.00	230	0.841	-0.000
H2O	Default	1/21/2015	06:02	0.95	0.019	0.017	1.10	1.14	50.00	230	0.017	-0.012
