Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
H2O	Default	1/29/2015	02:41	0.77	0.015	0.010	1.56	0.44	50.00	230	0.034	-0.003
CRS 01A	Default	1/29/2015	02:42	10.70	0.214	0.125	1.72	0.15	50.00	230	1.430	0.033
CRS 01B	Default	1/29/2015	02:43	10.53	0.211	0.118	1.79	0.19	50.00	230	1.137	0.013
CRS 11A	Default	1/29/2015	02:45	10.94	0.219	0.116	1.89	0.27	50.00	230	0.820	0.011
CRS 11B	Default	1/29/2015	02:46	11.55	0.231	0.113	2.05	0.28	50.00	230	0.834	0.010
CRS 21A	Default	1/29/2015	02:49	10.65	0.213	0.161	1.32	0.17	50.00	230	1.253	0.030
CRS 21B	Default	1/29/2015	02:50	12.49	0.250	0.154	1.62	0.29	50.00	230	0.853	0.011
CRS 02A	Default	1/29/2015	02:51	12.25	0.245	0.109	2.25	0.29	50.00	230	0.846	0.010
CRS 02B	Default	1/29/2015	02:53	10.30	0.206	0.117	1.76	0.23	50.00	230	0.876	0.004
CRS 12A	Default	1/29/2015	02:54	12.22	0.244	0.142	1.72	0.28	50.00	230	0.879	0.011
CRS 12B	Default	1/29/2015	02:55	10.88	0.218	0.112	1.95	0.27	50.00	230	0.809	0.010
CRS 22A	Default	1/29/2015	02:57	11.09	0.222	0.123	1.80	0.26	50.00	230	0.840	0.012
CRS 22B	Default	1/29/2015	02:58	10.78	0.216	0.120	1.79	0.25	50.00	230	0.861	0.030
CRS 03A	Default	1/29/2015	02:59	8.64	0.173	0.080	2.17	0.16	50.00	230	1.065	0.004
CRS 03B	Default	1/29/2015	03:00	11.61	0.232	0.086	2.70	0.19	50.00	230	1.243	-0.009
CRS 13A	Default	1/29/2015	03:02	10.72	0.214	0.084	2.57	0.20	50.00	230	1.081	0.001
CRS 13B	Default	1/29/2015	03:03	11.04	0.221	0.105	2.11	0.20	50.00	230	1.098	-0.009
CRS 23A	Default	1/29/2015	03:04	9.49	0.190	0.093	2.04	0.20	50.00	230	0.963	0.019
CRS 23B	Default	1/29/2015	03:05	9.76	0.195	0.097	2.01	0.19	50.00	230	1.010	0.017
