accession,taxid
L48338.1,50225
KU242702.1,1863015
KU242701.1,1863015
KU242700.1,1863015
KU242699.1,1863015
KU242698.1,1863014
KU242697.1,1863014
KU242696.1,1863014
KU242695.1,1863014
KU242694.1,1863015
KU242693.1,1863015
KU242692.1,1863015
KU242691.1,1863015
KR902922.1,247936
KR902921.1,912384
KR902920.1,661419
KR902919.1,241231
KR902918.1,912523
AH012969.2,100283
AH012968.2,140843
AH012963.2,234476
AH012957.2,234471
AH012956.2,234470
AH012955.2,234469
AH012954.2,234468
AH012951.2,234467
AH012950.2,234466
AH012949.2,234465
AH012948.2,111420
AH012947.2,140812
AH012946.2,76423
AH012945.2,234464
AH012944.2,234463
AH012943.2,234461
AH012942.2,100284
AH012941.2,100281
AH012940.2,76424
AH012938.2,234460
AH010364.2,145998
KT695302.1,1720361
KT695299.1,571920
KT695285.1,55612
KT695277.1,1720356
KT695242.1,59297
KT695215.1,1249080
KT695212.1,52299
KT695210.1,59297
KT695209.1,1720387
KT695199.1,526933
KT695195.1,53723
KT695186.1,1720362
KT695177.1,55612
KT695168.1,1720366
KT582024.1,47064
KT582023.1,47064
KT582022.1,47064
KT582021.1,47064
KT582020.1,47064
KT582019.1,47064
KU366686.1,90037
KU366685.1,90037
KU366684.1,90037
KU366683.1,90037
KU366682.1,90037
KU182864.1,4233
KU168602.1,454198
KU168601.1,1840719
KU168600.1,1840719
KU168599.1,1840719
KU168598.1,669632
KU168597.1,1840719
KU168596.1,1840719
KU939675.1,312760
KU939674.1,312760
KU939673.1,312760
KU939672.1,312760
KU939671.1,312760
KU939670.1,312760
KU939669.1,312760
KU939668.1,312760
KU939667.1,312760
KU939666.1,312760
KU939665.1,312760
KU939664.1,312760
KU939663.1,312760
KU939662.1,312760
KU939661.1,312760
KU939660.1,312760
KU939659.1,312760
KU939658.1,312760
KU939657.1,312760
KU939656.1,312760
KU939655.1,312760
KU939654.1,312760
KU939653.1,312760
KU939652.1,312760
KU939651.1,312760
KU939650.1,312760
KU939649.1,312760
KU939648.1,312760
KU939647.1,312760
KU939645.1,312760
KU939644.1,312760
KU939643.1,312760
KU939642.1,312760
KU939641.1,312760
KU939640.1,312760
KU939639.1,312760
KU939638.1,312760
KU939637.1,312760
KU939636.1,312760
KU939635.1,312760
KU939634.1,312760
KU939633.1,312760
KU939632.1,312760
KU939631.1,312760
KU939630.1,312760
KU939629.1,312760
KU939628.1,312760
KU939627.1,312760
KU939626.1,312760
KU939625.1,312760
KU939624.1,502424
KU939623.1,502424
KU939622.1,502424
KU939621.1,502424
KU939620.1,502424
KU939619.1,502424
KU939618.1,502424
KU939617.1,502424
KU939616.1,1824954
KU939615.1,1824954
KU939614.1,1824954
KU939613.1,1824954
KU939612.1,502400
KU939611.1,502400
KU939606.1,502400
KU939605.1,502400
KU939603.1,301500
KU939602.1,1081490
KT898265.1,119829
KT898233.1,90037
KP325389.1,1737057
KF954529.1,170727
KT365800.1,649199
KT960365.1,241220
KT960364.1,511092
KT960362.1,241231
KT960353.1,241197
KT960341.1,241210
KT960338.1,511092
KT960321.1,241220
KT960314.1,100286
KT960301.1,511092
KT960292.1,241200
KT960281.1,140858
