Plate,Cell id,Type,Number,Notes,row,column
1,A1,Rhizo,56,,A,1
1,A2,Rhizo,57,,A,2
1,A3,Rhizo,58,,A,3
1,A4,Rhizo,59,,A,4
1,A5,Rhizo,60,,A,5
1,A6,Rhizo,61,,A,6
1,A7,Rhizo,62,,A,7
1,A8,Rhizo,63,,A,8
1,A9,Rhizo,64,,A,9
1,A10,Rhizo,65,,A,10
1,A11,Rhizo,66,,A,11
1,A12,Rhizo,67,,A,12
1,B1,Rhizo,68,,B,1
1,B2,Rhizo,69,,B,2
1,B3,H2O 250ul,1,,B,3
1,B4,Rhizo,70,,B,4
1,B5,"Voucher, Common",1,,B,5
1,B6,"Voucher, Common",7,,B,6
1,B7,"Voucher, Common",14,,B,7
1,B8,"Voucher, Common",3,,B,8
1,B9,"Voucher, Common",25,,B,9
1,B10,"Voucher, Common",8,,B,10
1,B11,"Voucher, Common",9,,B,11
1,B12,"Voucher, Common",13,,B,12
1,C1,"Voucher, Common",24,,C,1
1,C2,"Voucher, Common",10,,C,2
1,C3,"Voucher, Common",11,,C,3
1,C4,"Voucher, Common",5,,C,4
1,C5,"Voucher, Common",4,,C,5
1,C6,"Voucher, Common",23,,C,6
1,C7,"Voucher, Common",17,,C,7
1,C8,"Voucher, Common",21,,C,8
1,C9,"Voucher, Common",22,,C,9
1,C10,"Voucher, Common",12,,C,10
1,C11,"Voucher, Common",2,,C,11
1,C12,"Voucher, Common",20,,C,12
1,D1,"Voucher, Common",18,,D,1
1,D2,"Voucher, Common",15,,D,2
1,D3,"Voucher, Common",19,,D,3
1,D4,"Voucher, Common",16,,D,4
1,D5,"Voucher, Common",6,,D,5
1,D6,"Voucher, Others",40,,D,6
1,D7,"Voucher, Others",35,,D,7
1,D8,"Voucher, Others",34,,D,8
1,D9,"Voucher, Others",31,,D,9
1,D10,"Voucher, Others",38,,D,10
1,D11,"Voucher, Others",27,Few mg spilled,D,11
1,D12,"Voucher, Others",37,,D,12
1,E1,"Voucher, Others",26,,E,1
1,E2,"Voucher, Others",36,,E,2
1,E3,"Voucher, Others",32,,E,3
1,E4,"Voucher, Others",33,,E,4
1,E5,"Voucher, Others",29,,E,5
1,E6,"Voucher, Others",30,,E,6
1,E7,"Voucher, Others",39,,E,7
1,E8,"Voucher, Others",28,,E,8
1,E9,"Voucher, Others",50,,E,9
1,E10,"Voucher, Others",46,,E,10
1,E11,"Voucher, Others",43,,E,11
1,E12,"Voucher, Others",54,,E,12
1,F1,"Voucher, Others",52,,F,1
1,F2,"Voucher, Others",44,,F,2
1,F3,"Voucher, Others",41,,F,3
