Well,Sample,Censor,Tissue,Extractions
A1,A1,amp fail,A,1
A2,A1,,A,1
A3,E1,,E,1
A4,E1,,E,1
A5,G1,,G,1
A6,G1,,G,1
A7,,,,
A8,,,,
A9,R.sph,,R.sph,1
A10,R.sph,,R.sph,1
A11,E.coli,,E.coli,1
A12,E.coli,,E.coli,1
B1,A2,,A,2
B2,A2,,A,2
B3,E2,,E,2
B4,E2,,E,2
B5,G2,,G,2
B6,G2,,G,2
B7,,,,
B8,,,,
B9,H.flu,,H.flu,1
B10,H.flu,,H.flu,1
B11,mixed bac,,mixed bac,1
B12,mixed bac,,mixed bac,1
C1,A3,,A,3
C2,A3,,A,3
C3,E3,,E,3
C4,E3,,E,3
C5,G3,,G,3
C6,G3,,G,3
C7,,,,
C8,,,,
C9,,,,
C10,,,,
C11,TE,neg ctrl,TE,0
C12,H2O,neg ctrl,H2O,0
D1,A4,,A,4
D2,A4,,A,4
D3,E4,,E,4
D4,E4,,E,4
D5,G4,,G,4
D6,G4,,G,4
D7,,,,
D8,,,,
D9,,,,
D10,,,,
D11,,,,
D12,,,,
E1,C1,,C,1
E2,C1,,C,1
E3,F1,,F,1
E4,F1,,F,1
E5,H1,,H,1
E6,H1,,H,1
E7,,,,
E8,,,,
E9,,,,
E10,,,,
E11,,,,
E12,,,,
F1,C2,,C,2
F2,C2,,C,2
F3,F2,,F,2
F4,F2,,F,2
F5,H2,,H,2
F6,H2,,H,2
F7,,,,
F8,,,,
F9,,,,
F10,,,,
F11,,,,
F12,,,,
G1,C3,,C,3
G2,C3,,C,3
G3,F3,,F,3
G4,F3,,F,3
G5,H3,,H,3
G6,H3,,H,3
G7,,,,
G8,,,,
G9,,,,
G10,,,,
G11,,,,
G12,,,,
H1,C4,,C,4
H2,C4,,C,4
H3,F4,,F,4
H4,F4,,F,4
H5,H4,,H,4
H6,H4,,H,4
H7,,,,
H8,,,,
H9,,,,
H10,,,,
H11,,,,
H12,,,,
