,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Unkn,A1,None,None,None,None,
,A02,SYBR,,Unkn,A1,86.1,751.578476244003,82.6,87.1,
,A03,SYBR,,Unkn,E1,86.1,758.101851406728,82.5,89.1,
,A04,SYBR,,Unkn,E1,None,None,None,None,
,A05,SYBR,,Unkn,G1,None,None,None,None,
,A06,SYBR,,Unkn,G1,None,None,None,None,
,A07,SYBR,,Unkn,,None,None,None,None,
,A08,SYBR,,Unkn,,None,None,None,None,
,A09,SYBR,,Unkn,R.sph,85.7,752.549355433742,84,86.7,
,A10,SYBR,,Unkn,R.sph,85.7,482.018032711673,83.7,86.5,
,A11,SYBR,,Unkn,E.coli,86.1,1249.75423488055,83.9,87.6,
,A12,SYBR,,Unkn,E.coli,86.1,1514.01333631231,83.9,87.5,
,B01,SYBR,,Unkn,A2,None,None,None,None,
,B02,SYBR,,Unkn,A2,85.9,1128.7056359367,83.2,88,
,B03,SYBR,,Unkn,E2,86,590.017419553269,82.8,89.1,
,B04,SYBR,,Unkn,E2,None,None,None,None,
,B05,SYBR,,Unkn,G2,None,None,None,None,
,B06,SYBR,,Unkn,G2,None,None,None,None,
,B07,SYBR,,Unkn,,None,None,None,None,
,B08,SYBR,,Unkn,,None,None,None,None,
,B09,SYBR,,Unkn,H.flu,84.5,948.962957612238,81.8,85.5,
,B10,SYBR,,Unkn,H.flu,84.5,1083.59706200799,81.9,85.6,
,B11,SYBR,,Unkn,mixed bac,84.5,635.410392177095,82.5,85.2,
,B12,SYBR,,Unkn,mixed bac,85.7,500.776631119532,85.2,87.2,
,B12,SYBR,,Unkn,mixed bac,84.5,898.432395699221,82.5,85.2,
,C01,SYBR,,Unkn,A3,86,610.931557004222,83.1,87.6,
,C02,SYBR,,Unkn,A3,85.8,1011.54626876229,82.9,88.6,
,C03,SYBR,,Unkn,E3,86,709.950887927953,82.7,90,
,C04,SYBR,,Unkn,E3,None,None,None,None,
,C05,SYBR,,Unkn,G3,None,None,None,None,
,C06,SYBR,,Unkn,G3,None,None,None,None,
,C07,SYBR,,Unkn,,None,None,None,None,
,C08,SYBR,,Unkn,,None,None,None,None,
,C09,SYBR,,Unkn,,None,None,None,None,
,C10,SYBR,,Unkn,,None,None,None,None,
,C11,SYBR,,Neg Ctrl,TE,None,None,None,None,
,C12,SYBR,,Neg Ctrl,H2O,None,None,None,None,
,D01,SYBR,,Unkn,A4,85.9,429.748708020341,83.2,88,
,D02,SYBR,,Unkn,A4,85.9,1030.11771619675,82.7,88.8,
,D03,SYBR,,Unkn,E4,86.1,671.834033765349,82.7,89,
,D04,SYBR,,Unkn,E4,86.2,511.663831209326,83,89.6,
,D05,SYBR,,Unkn,G4,None,None,None,None,
,D06,SYBR,,Unkn,G4,None,None,None,None,
,D07,SYBR,,Unkn,,None,None,None,None,
