,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,A1,A1,E1,E1,G1,G1,,,R.sph,R.sph,E.coli,E.coli
A,Peak 1,None,86.1,86.1,None,None,None,None,None,85.7,85.7,86.1,86.1
A,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,A2,A2,E2,E2,G2,G2,,,H.flu,H.flu,mixed bac,mixed bac
B,Peak 1,None,85.9,86,None,None,None,None,None,84.5,84.5,84.5,84.5
B,Peak 2,None,None,None,None,None,None,None,None,None,None,None,85.7
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Neg Ctrl,Neg Ctrl
C,Sample,A3,A3,E3,E3,G3,G3,,,,,TE,H2O
C,Peak 1,86,85.8,86,None,None,None,None,None,None,None,None,None
C,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,A4,A4,E4,E4,G4,G4,,,,,,
D,Peak 1,85.9,85.9,86.1,86.2,None,None,None,None,None,None,None,None
D,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,C1,C1,F1,F1,H1,H1,,,,,,
E,Peak 1,85.7,85.6,86.1,86.2,86.2,86.2,None,None,None,None,None,None
E,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,C2,C2,F2,F2,H2,H2,,,,,,
F,Peak 1,85.5,85.5,86,86.1,86.1,86.1,None,None,None,None,None,None
F,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,C3,C3,F3,F3,H3,H3,,,,,,
G,Peak 1,85.5,85.6,86,86,86,86,None,None,None,None,None,None
G,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,C4,C4,F4,F4,H4,H4,,,,,,
H,Peak 1,85.7,85.5,86,86,86,86,None,None,None,None,None,None
H,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
