,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,72,2822.27544951427,4792.07237016454,6038.94154622869,4264.12863181203,4346.2021441596,4525.06692297538,2474.11496280108,2453.16591044812,4326.08740053014,3702.54581362447,5667.30273879365,6299.911796786,3300.86869139776,5957.23408355029,5300.43836349022,3534.23077186057,3696.89623256001,4001.29736640552,2450.1147646843,2444.30604206581,4731.13010469308,4962.77913838402,4548.34040297471,5345.54391516865,4514.45586788999,5843.24382971725,5873.35082283361,4384.40936614081,4032.92862695365,4233.7838843354,2489.97404966141,2477.38701620835,2495.46591461244,2459.36069543383,2822.34168410097,2797.23155854571,3862.57754633464,5836.49269790804,5688.22301194908,4886.27608057819,4280.41494637748,3943.68105546185,2561.93971537746,2578.57621299585,2555.53047058498,2569.11325332594,2553.70939890957,2559.06706706371,6743.03279131373,6769.79677330731,6196.85093573486,4997.10734728835,6408.5311338789,5719.14852767309,2617.38911281684,2599.17807643755,2609.23426859236,2595.93336440566,2602.77892021795,2591.73052388063,6529.19183300398,7036.8154183875,5194.31071952549,4338.30122479964,5271.63425881674,5530.51573487979,2571.66202381997,2568.23816342554,2572.05497137025,2557.97395725194,2567.51569741127,2563.74635344144,6577.03385168611,7170.15013527018,5910.38417840079,4551.91152056504,5239.08011197087,5743.99767371455,2622.07676366567,2602.40041439347,2623.1786782668,2600.03544257424,2615.25734973437,2590.54142383286,5158.72965734703,6895.22696467255,5136.8879916341,4685.64250397373,5134.9398585076,5855.83364239734,2590.10716611667,2572.19346297772,2566.26627655327,2581.67524798029,2578.25983475175,2566.97022520367
,72.1,2821.559442374,4783.71364167609,6026.70171402157,4258.26395579518,4339.86963737475,4519.20136737321,2473.78934540357,2453.2511361486,4319.21200212392,3697.56887206223,5655.41461249182,6285.89036170574,3298.66133645917,5946.16315369982,5291.92304067675,3530.73883088214,3694.27993587758,3996.52107204161,2450.29088571215,2444.4937203015,4723.00109825964,4953.77771332209,4542.87908482884,5338.72088311242,4507.17609059402,5831.2014091298,5862.69723963226,4378.08561008874,4028.18737978868,4227.36211048907,2489.72152168377,2477.09406426222,2495.35399574403,2458.81101714523,2821.26173714819,2796.38820803888,3857.32095830508,5824.26449362909,5677.0311898034,4878.06913027634,4273.57334539968,3938.90238657467,2561.82326126211,2578.32368144857,2555.5742614027,2569.03564072643,2553.75997312714,2559.17742242197,6728.79579091007,6755.21197201113,6184.93589941877,4988.70449260207,6396.16805593564,5707.37778240522,2617.54650414433,2599.5393274977,2609.39528334303,2596.31508813653,2602.59083944906,2591.77308192476,6515.58611894995,7021.99454475077,5185.34845820625,4331.89369286627,5261.75318472675,5519.78096666084,2571.46093502116,2568.34272238956,2571.71785682669,2558.46303617569,2567.97899644907,2564.34885198007,6562.93588068466,7154.01243011054,5897.99649599151,4544.90404607863,5229.3052822413,5732.68374666026,2622.40743441204,2602.01431107215,2623.17324763487,2599.86998667595,2615.46673440018,2590.5782353913,5150.27910141788,6881.53741797427,5128.2889322414,4678.40079564507,5126.00951780867,5844.35042215733,2590.14700496532,2572.70605355523,2567.18478300662,2582.05761446668,2577.8354904152,2566.47298608845
,72.2,2820.84343523373,4775.35491318763,6014.46188181444,4252.39927977833,4333.5371305899,4513.33581177103,2473.46372800606,2453.33636184908,4312.33660371771,3692.59193049999,5643.52648618997,6271.86892662548,3296.45398152058,5935.09222384935,5283.40771786329,3527.2468899037,3691.66363919515,3991.7447776777,2450.46700674,2444.68139853718,4714.8720918262,4944.77628826017,4537.41776668296,5331.89785105619,4499.89631329806,5819.15898854234,5852.04365643092,4371.76185403666,4023.4461326237,4220.94033664274,2489.46899370614,2476.80111231609,2495.24207687562,2458.26133885664,2820.18179019541,2795.54485753206,3852.06437027553,5812.03628935014,5665.83936765772,4869.86217997448,4266.73174442188,3934.12371768749,2561.70680714675,2578.07114990129,2555.61805222043,2568.95802812692,2553.81054734471,2559.28777778022,6714.55879050641,6740.62717071494,6173.02086310268,4980.30163791579,6383.80497799237,5695.60703713735,2617.70389547182,2599.90057855785,2609.55629809371,2596.6968118674,2602.40275868017,2591.81563996889,6501.98040489591,7007.17367111404,5176.38619688701,4325.48616093291,5251.87211063675,5509.0461984419,2571.25984622236,2568.44728135359,2571.38074228313,2558.95211509943,2568.44229548686,2564.9513505187,6548.8379096832,7137.87472495091,5885.60881358223,4537.89657159221,5219.53045251173,5721.36981960597,2622.73810515842,2601.62820775083,2623.16781700294,2599.70453077766,2615.67611906598,2590.61504694975,5141.82854548872,6867.847871276,5119.6898728487,4671.15908731642,5117.07917710973,5832.86720191731,2590.18684381396,2573.21864413274,2568.10328945997,2582.43998095308,2577.41114607865,2565.97574697322
,72.3,2820.12742809346,4766.99618469918,6002.22204960732,4246.53460376147,4327.20462380504,4507.47025616886,2473.13811060855,2453.42158754957,4305.46120531149,3687.61498893774,5631.63835988814,6257.84749154522,3294.246626582,5924.02129399888,5274.89239504982,3523.75494892526,3689.04734251272,3986.96848331378,2450.64312776784,2444.86907677287,4706.74308539276,4935.77486319824,4531.95644853709,5325.07481899996,4492.6165360021,5807.11656795488,5841.39007322957,4365.43809798459,4018.70488545872,4214.51856279641,2489.2164657285,2476.50816036996,2495.1301580072,2457.71166056804,2819.10184324263,2794.70150702523,3846.80778224597,5799.80808507119,5654.64754551203,4861.65522967263,4259.89014344409,3929.3450488003,2561.59035303139,2577.818618354,2555.66184303815,2568.88041552741,2553.86112156227,2559.39813313847,6700.32179010275,6726.04236941876,6161.10582678659,4971.89878322951,6371.44190004911,5683.83629186948,2617.86128679931,2600.26182961799,2609.71731284438,2597.07853559826,2602.21467791128,2591.85819801302,6488.37469084188,6992.35279747731,5167.42393556777,4319.07862899954,5241.99103654676,5498.31143022295,2571.05875742355,2568.55184031762,2571.04362773957,2559.44119402318,2568.90559452466,2565.55384905733,6534.73993868174,7121.73701979128,5873.22113117295,4530.8890971058,5209.75562278217,5710.05589255168,2623.0687759048,2601.24210442951,2623.16238637101,2599.53907487937,2615.88550373179,2590.65185850819,5133.37798955957,6854.15832457773,5111.090813456,4663.91737898776,5108.1488364108,5821.38398167729,2590.22668266261,2573.73123471025,2569.02179591332,2582.82234743947,2576.9868017421,2565.478507858
,72.4,2819.41142095318,4758.63745621072,5989.9822174002,4240.66992774462,4320.87211702019,4501.60470056669,2472.81249321105,2453.50681325005,4298.58580690527,3682.6380473755,5619.7502335863,6243.82605646495,3292.03927164341,5912.95036414841,5266.37707223636,3520.26300794683,3686.43104583028,3982.19218894987,2450.81924879569,2445.05675500856,4698.61407895931,4926.77343813632,4526.49513039121,5318.25178694373,4485.33675870613,5795.07414736742,5830.73649002823,4359.11434193252,4013.96363829374,4208.09678895008,2488.96393775087,2476.21520842383,2495.01823913879,2457.16198227944,2818.02189628985,2793.8581565184,3841.55119421642,5787.57988079224,5643.45572336635,4853.44827937077,4253.04854246629,3924.56637991312,2561.47389891603,2577.56608680672,2555.70563385588,2568.8028029279,2553.91169577984,2559.50848849673,6686.08478969909,6711.45756812258,6149.1907904705,4963.49592854323,6359.07882210585,5672.06554660161,2618.01867812681,2600.62308067814,2609.87832759506,2597.46025932913,2602.02659714239,2591.90075605716,6474.76897678784,6977.53192384058,5158.46167424853,4312.67109706618,5232.10996245676,5487.576662004,2570.85766862474,2568.65639928164,2570.70651319601,2559.93027294693,2569.36889356246,2566.15634759596,6520.64196768028,7105.59931463164,5860.83344876367,4523.88162261938,5199.98079305259,5698.74196549739,2623.39944665118,2600.8560011082,2623.15695573908,2599.37361898108,2616.0948883976,2590.68867006664,5124.92743363042,6840.46877787946,5102.4917540633,4656.67567065911,5099.21849571187,5809.90076143727,2590.26652151126,2574.24382528776,2569.94030236667,2583.20471392586,2576.56245740555,2564.98126874277
,72.5,2818.6954138129,4750.27872772252,5977.74238519329,4234.8052517276,4314.53961023563,4495.73914496413,2472.48687581335,2453.59203895062,4291.71040849942,3677.66110581331,5607.86210728403,6229.80462138467,3289.83191670486,5901.87943429791,5257.86174942273,3516.77106696831,3683.81474914748,3977.41589458612,2450.99536982341,2445.24443324425,4690.48507252579,4917.77201307432,4521.03381224531,5311.42875488757,4478.05698140999,5783.03172678032,5820.08290682728,4352.79058588049,4009.22239112893,4201.67501510389,2488.7114097733,2475.92225647756,2494.90632027057,2456.6123039907,2816.94194933699,2793.01480601147,3836.29460618677,5775.35167651344,5632.26390122065,4845.2413290684,4246.20694148846,3919.78771102571,2561.35744480072,2577.31355525944,2555.74942467383,2568.72519032824,2553.96226999751,2559.61884385508,6671.84778929488,6696.8727668266,6137.27575415413,4955.09307385707,6346.7157441627,5660.29480133391,2618.17606945435,2600.98433173829,2610.03934234572,2597.84198305994,2601.8385163737,2591.94331410142,6461.16326273399,6962.71105020381,5149.49941292934,4306.26356513302,5222.22888836645,5476.84189378492,2570.65657982589,2568.7609582455,2570.36939865255,2560.41935187089,2569.83219260033,2566.75884613458,6506.54399667891,7089.46160947178,5848.44576635455,4516.87414813288,5190.20596332262,5687.42803844334,2623.73011739762,2600.46989778691,2623.15152510722,2599.20816308293,2616.3042730634,2590.72548162516,5116.47687770155,6826.77923118086,5093.89269467017,4649.43396233028,5090.28815501289,5798.41754119727,2590.30636035981,2574.75641586501,2570.85880882022,2583.58708041226,2576.13811306878,2564.48402962776
,72.6,2817.97940667263,4741.91999923407,5965.50255298617,4228.94057571075,4308.20710345077,4489.87358936196,2472.16125841585,2453.6772646511,4284.8350100932,3672.68416425106,5595.97398098219,6215.78318630441,3287.62456176627,5890.80850444743,5249.34642660926,3513.27912598988,3681.19845246505,3972.63960022221,2451.17149085126,2445.43211147994,4682.35606609234,4908.7705880124,4515.57249409944,5304.60572283133,4470.77720411403,5770.98930619286,5809.42932362593,4346.46682982841,4004.48114396395,4195.25324125756,2488.45888179567,2475.62930453143,2494.79440140216,2456.06262570211,2815.86200238421,2792.17145550464,3831.03801815721,5763.12347223449,5621.07207907497,4837.03437876655,4239.36534051066,3915.00904213852,2561.24099068536,2577.06102371216,2555.79321549156,2568.64757772873,2554.01284421507,2559.72919921333,6657.61078889122,6682.28796553041,6125.36071783804,4946.69021917079,6334.35266621944,5648.52405606604,2618.33346078184,2601.34558279844,2610.2003570964,2598.22370679081,2601.65043560481,2591.98587214555,6447.55754867996,6947.89017656709,5140.5371516101,4299.85603319966,5212.34781427645,5466.10712556597,2570.45549102708,2568.86551720953,2570.03228410899,2560.90843079464,2570.29549163813,2567.36134467321,6492.44602567745,7073.32390431214,5836.05808394528,4509.86667364647,5180.43113359305,5676.11411138905,2624.06078814399,2600.08379446559,2623.14609447529,2599.04270718464,2616.51365772921,2590.76229318361,5108.02632177239,6813.08968448259,5085.29363527747,4642.19225400163,5081.35781431395,5786.93432095726,2590.34619920846,2575.26900644252,2571.77731527357,2583.96944689865,2575.71376873223,2563.98679051254
,72.7,2816.91955842261,4733.43281939875,5953.14323290841,4222.43902918429,4301.71194003615,4484.14578579104,2471.86613866694,2453.30409004665,4277.49025896666,3667.42119243029,5583.58509017311,6201.71640697929,3285.01404324349,5880.32652509177,5240.66594145827,3509.787829185,3678.18998006731,3967.67437763605,2451.09557722157,2445.64032954028,4675.31584228067,4899.88488899652,4509.39136826169,5297.43737739822,4463.56692972505,5758.6514362766,5798.49345655697,4339.60385041638,3999.34351332845,4188.7958972982,2488.48418180873,2475.27076426878,2494.83593541877,2455.69105812011,2814.55005484852,2791.56393094416,3826.13762665078,5751.21689220105,5609.84063086571,4828.21168562456,4232.37426068431,3909.9212013295,2561.41979292419,2577.20236126437,2555.77248599809,2568.37465514702,2554.09133464007,2560.10641974291,6642.97706142737,6667.09480850075,6113.00427346304,4937.69782027247,6321.79923178936,5636.35964418144,2618.62114106886,2601.35290547157,2610.07004703925,2598.67326453264,2601.35318566373,2592.12722696901,6433.45112103734,6933.62515389855,5131.49221868897,4293.39567850591,5202.43910536737,5455.675071877,2570.57276436953,2568.90344499689,2570.29024230394,2561.62809040552,2570.72519869585,2567.27333441078,6478.31683553497,7057.56625630609,5823.40704712863,4502.6745538219,5170.42490934912,5664.24690501702,2624.4014551581,2599.74712661249,2623.55296887332,2598.59481928232,2616.48522717625,2590.86948295707,5098.33664494627,6798.72241021989,5076.32035939467,4634.64135526652,5071.75971435765,5775.31166901306,2590.37244728137,2575.62308962825,2572.16705708135,2584.48835047308,2575.38931014756,2563.49640206039
,72.8,2815.5717884886,4724.94966147873,5940.94330362752,4216.21773525611,4295.27122141045,4478.28327373191,2471.33405393946,2453.15239178219,4269.77298159441,3662.27202838027,5571.43127966071,6188.42136132987,3283.00409583809,5869.59911115942,5231.49832626354,3506.35622462528,3674.40197117816,3962.4915318413,2451.07834477511,2445.3652758215,4669.36821031375,4891.05254903831,4502.70587901417,5289.64910029495,4455.9862389083,5746.1941114152,5787.44440377178,4332.88143281461,3993.9147750531,4182.00549256931,2488.57545091187,2475.47502468447,2495.03795761397,2455.515751991,2813.19383562293,2790.93781034821,3820.61475283822,5738.7350506181,5598.22451947019,4819.59883154431,4225.39828147764,3904.61107483573,2561.79276982142,2577.46331284167,2555.53571419193,2568.01173749183,2554.18751287694,2560.34012838396,6628.01541011269,6651.48755546875,6100.03154350376,4928.38695110772,6309.3721024621,5624.06424286651,2618.85346206942,2601.51341086163,2610.11550787654,2598.72355090986,2601.2032816517,2591.96330958876,6419.43790967018,6918.70964488221,5122.34469165653,4286.61377575103,5192.57367423744,5444.65620496116,2570.71661663186,2568.81936133896,2570.48080322339,2562.66899593098,2570.91418437501,2567.57477496368,6464.07350273254,7041.7805231538,5810.88176917422,4495.28480183862,5161.11908433829,5652.44873895726,2625.04707333053,2599.5699353349,2623.93915676342,2598.1194356538,2616.32429259468,2590.98541075151,5088.59008484798,6784.45104200755,5067.29278474167,4627.08389724837,5062.09311181192,5763.90514090648,2590.2068788222,2576.19229490173,2572.24945230937,2584.6804671233,2575.16188225403,2563.58195181947
,72.9,2814.04861790113,4716.88144507274,5928.2603526537,4210.23601807817,4288.90880050058,4471.73758916173,2470.92859653441,2453.13567261227,4261.8631164534,3657.36395475617,5559.28963726116,6174.75094410488,3280.82927708643,5857.70439183845,5221.37502114813,3502.27817565307,3670.02003504552,3957.01257209144,2451.04214929124,2445.15165285158,4664.81814305621,4882.29914190569,4496.0293510281,5280.59473013489,4448.77589152937,5733.8519076573,5775.73802892445,4325.97835596544,3988.29493156003,4175.10334772077,2488.94351796107,2475.86520033841,2495.30718498786,2455.81882172453,2812.09130535104,2789.83535230211,3814.97479627683,5725.83789493732,5586.12215770356,4810.86534495617,4218.37254661577,3898.95654691059,2561.99504978454,2577.84508425532,2555.70483042089,2568.16084109186,2553.89032998782,2560.49406237821,6612.62964580387,6635.57271978041,6086.37421796019,4918.84872191584,6296.50878594208,5612.00586051037,2619.26115232904,2601.33989807552,2609.85642782499,2598.9092991686,2601.30235829358,2591.79199689868,6405.03044261582,6904.09204700034,5113.17205301255,4279.86079368377,5182.3559703937,5433.44272577969,2571.16982457402,2568.97000554094,2570.90508543329,2563.66839658594,2570.64631863396,2567.45136071114,6449.65073203547,7025.91515307741,5798.09300480892,4487.38209761564,5151.53186760521,5640.30354827507,2625.6742876197,2599.70417785637,2624.35947359862,2597.93599191287,2616.05415491149,2590.90335191283,5078.77009028344,6770.65252347329,5058.07993696613,4620.31264603579,5052.32576986285,5752.74348758754,2590.22354580618,2576.47425437512,2571.99257216749,2585.1934224872,2575.20545798161,2563.70793874277
