,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,A1,,NaN,0,0,NaN,NaN,0,0,72,
,A02,SYBR,,Unkn,A1,,21.6871997313857,21.6871997313857,0,NaN,NaN,NaN,0,72,
,A03,SYBR,,Unkn,E1,,20.3268781921971,20.3268781921971,0,NaN,NaN,NaN,0,72,
,A04,SYBR,,Unkn,E1,,22.8173016999715,22.8173016999715,0,NaN,NaN,NaN,0,72,
,A05,SYBR,,Unkn,G1,,24.5651166941995,24.5651166941995,0,NaN,NaN,NaN,0,72,
,A06,SYBR,,Unkn,G1,,24.299066375145,24.299066375145,0,NaN,NaN,NaN,0,72,
,A07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,A08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,A09,SYBR,,Unkn,R.sph,,17.7194609885568,17.7194609885568,0,NaN,NaN,NaN,0,72,
,A10,SYBR,,Unkn,R.sph,,18.417899370475,18.417899370475,0,NaN,NaN,NaN,0,72,
,A11,SYBR,,Unkn,E.coli,,15.4230186324446,15.4230186324446,0,NaN,NaN,NaN,0,72,
,A12,SYBR,,Unkn,E.coli,,15.0069448013447,15.0069448013447,0,NaN,NaN,NaN,0,72,
,B01,SYBR,,Unkn,A2,,30.0353626763637,30.0353626763637,0,NaN,NaN,NaN,0,72,
,B02,SYBR,,Unkn,A2,,20.8874057317187,20.8874057317187,0,NaN,NaN,NaN,0,72,
,B03,SYBR,,Unkn,E2,,20.7600968682934,20.7600968682934,0,NaN,NaN,NaN,0,72,
,B04,SYBR,,Unkn,E2,,24.4578586663975,24.4578586663975,0,NaN,NaN,NaN,0,72,
,B05,SYBR,,Unkn,G2,,25.1222223953357,25.1222223953357,0,NaN,NaN,NaN,0,72,
,B06,SYBR,,Unkn,G2,,24.4416237347896,24.4416237347896,0,NaN,NaN,NaN,0,72,
,B07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,B08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,B09,SYBR,,Unkn,H.flu,,15.1517789797974,15.1517789797974,0,NaN,NaN,NaN,0,72,
,B10,SYBR,,Unkn,H.flu,,15.0092347888554,15.0092347888554,0,NaN,NaN,NaN,0,72,
,B11,SYBR,,Unkn,mixed bac,,15.4103806837999,15.4103806837999,0,NaN,NaN,NaN,0,72,
,B12,SYBR,,Unkn,mixed bac,,14.8774366575906,14.8774366575906,0,NaN,NaN,NaN,0,72,
,C01,SYBR,,Unkn,A3,,23.0910924384333,23.0910924384333,0,NaN,NaN,NaN,0,72,
,C02,SYBR,,Unkn,A3,,21.1001276262379,21.1001276262379,0,NaN,NaN,NaN,0,72,
,C03,SYBR,,Unkn,E3,,20.4246687309988,20.4246687309988,0,NaN,NaN,NaN,0,72,
,C04,SYBR,,Unkn,E3,,22.7243570738412,22.7243570738412,0,NaN,NaN,NaN,0,72,
,C05,SYBR,,Unkn,G3,,24.4045547251048,24.4045547251048,0,NaN,NaN,NaN,0,72,
,C06,SYBR,,Unkn,G3,,29.0239694299904,29.0239694299904,0,NaN,NaN,NaN,0,72,
,C07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,C08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,C09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,C10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,C11,SYBR,,Neg Ctrl,TE,,NaN,0,0,NaN,NaN,0,0,72,
,C12,SYBR,,Neg Ctrl,H2O,,NaN,0,0,NaN,NaN,0,0,72,
,D01,SYBR,,Unkn,A4,,23.1027679304878,23.1027679304878,0,NaN,NaN,NaN,0,72,
,D02,SYBR,,Unkn,A4,,21.1738352261234,21.1738352261234,0,NaN,NaN,NaN,0,72,
,D03,SYBR,,Unkn,E4,,20.8442279432184,20.8442279432184,0,NaN,NaN,NaN,0,72,
,D04,SYBR,,Unkn,E4,,21.4010384256317,21.4010384256317,0,NaN,NaN,NaN,0,72,
,D05,SYBR,,Unkn,G4,,23.7254598685526,23.7254598685526,0,NaN,NaN,NaN,0,72,
,D06,SYBR,,Unkn,G4,,24.3027154604389,24.3027154604389,0,NaN,NaN,NaN,0,72,
,D07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,D08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,D09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,D10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,D11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,D12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,E01,SYBR,,Unkn,C1,,18.5687710440346,18.5687710440346,0,NaN,NaN,NaN,0,72,
,E02,SYBR,,Unkn,C1,,18.3138063305419,18.3138063305419,0,NaN,NaN,NaN,0,72,
,E03,SYBR,,Unkn,F1,,20.2026294561886,20.2026294561886,0,NaN,NaN,NaN,0,72,
,E04,SYBR,,Unkn,F1,,21.2312725577665,21.2312725577665,0,NaN,NaN,NaN,0,72,
,E05,SYBR,,Unkn,H1,,19.5753099236489,19.5753099236489,0,NaN,NaN,NaN,0,72,
,E06,SYBR,,Unkn,H1,,20.0446101691765,20.0446101691765,0,NaN,NaN,NaN,0,72,
,E07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,E08,SYBR,,Unkn,,,25.3104843279956,25.3104843279956,0,NaN,NaN,NaN,0,72,
,E09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,E10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,E11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,E12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,F01,SYBR,,Unkn,C2,,18.4377593945113,18.4377593945113,0,NaN,NaN,NaN,0,72,
,F02,SYBR,,Unkn,C2,,18.5195707556526,18.5195707556526,0,NaN,NaN,NaN,0,72,
,F03,SYBR,,Unkn,F2,,20.8663158298424,20.8663158298424,0,NaN,NaN,NaN,0,72,
,F04,SYBR,,Unkn,F2,,22.203365332048,22.203365332048,0,NaN,NaN,NaN,0,72,
,F05,SYBR,,Unkn,H2,,21.1044883011915,21.1044883011915,0,NaN,NaN,NaN,0,72,
,F06,SYBR,,Unkn,H2,,20.4361751664966,20.4361751664966,0,NaN,NaN,NaN,0,72,
,F07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,F08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,F09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,F10,SYBR,,Unkn,,,34.194958589671,34.194958589671,0,NaN,NaN,NaN,0,72,
,F11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,F12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,G01,SYBR,,Unkn,C3,,19.2276904407282,19.2276904407282,0,NaN,NaN,NaN,0,72,
,G02,SYBR,,Unkn,C3,,18.389358546486,18.389358546486,0,NaN,NaN,NaN,0,72,
,G03,SYBR,,Unkn,F3,,20.2541156739445,20.2541156739445,0,NaN,NaN,NaN,0,72,
,G04,SYBR,,Unkn,F3,,22.0276052040635,22.0276052040635,0,NaN,NaN,NaN,0,72,
,G05,SYBR,,Unkn,H3,,20.4484555485713,20.4484555485713,0,NaN,NaN,NaN,0,72,
,G06,SYBR,,Unkn,H3,,20.2038735896503,20.2038735896503,0,NaN,NaN,NaN,0,72,
,G07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,G08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,G09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,G10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,G11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,G12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,H01,SYBR,,Unkn,C4,,21.1471729699065,21.1471729699065,0,NaN,NaN,NaN,0,72,
,H02,SYBR,,Unkn,C4,,19.8122835987439,19.8122835987439,0,NaN,NaN,NaN,0,72,
,H03,SYBR,,Unkn,F4,,21.0255717664906,21.0255717664906,0,NaN,NaN,NaN,0,72,
,H04,SYBR,,Unkn,F4,,22.1000296017433,22.1000296017433,0,NaN,NaN,NaN,0,72,
,H05,SYBR,,Unkn,H4,,20.8899824063163,20.8899824063163,0,NaN,NaN,NaN,0,72,
,H06,SYBR,,Unkn,H4,,20.3854405120998,20.3854405120998,0,NaN,NaN,NaN,0,72,
,H07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,H08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,H09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,H10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,H11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,H12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
