,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,A1,A1,E1,E1,G1,G1,,,R.sph,R.sph,E.coli,E.coli
A,Cq,NaN,21.6871997313857,20.3268781921971,22.8173016999715,24.5651166941995,24.299066375145,NaN,NaN,17.7194609885568,18.417899370475,15.4230186324446,15.0069448013447
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,A2,A2,E2,E2,G2,G2,,,H.flu,H.flu,mixed bac,mixed bac
B,Cq,30.0353626763637,20.8874057317187,20.7600968682934,24.4578586663975,25.1222223953357,24.4416237347896,NaN,NaN,15.1517789797974,15.0092347888554,15.4103806837999,14.8774366575906
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Neg Ctrl,Neg Ctrl
C,Sample,A3,A3,E3,E3,G3,G3,,,,,TE,H2O
C,Cq,23.0910924384333,21.1001276262379,20.4246687309988,22.7243570738412,24.4045547251048,29.0239694299904,NaN,NaN,NaN,NaN,NaN,NaN
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,A4,A4,E4,E4,G4,G4,,,,,,
D,Cq,23.1027679304878,21.1738352261234,20.8442279432184,21.4010384256317,23.7254598685526,24.3027154604389,NaN,NaN,NaN,NaN,NaN,NaN
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,C1,C1,F1,F1,H1,H1,,,,,,
E,Cq,18.5687710440346,18.3138063305419,20.2026294561886,21.2312725577665,19.5753099236489,20.0446101691765,NaN,25.3104843279956,NaN,NaN,NaN,NaN
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,C2,C2,F2,F2,H2,H2,,,,,,
F,Cq,18.4377593945113,18.5195707556526,20.8663158298424,22.203365332048,21.1044883011915,20.4361751664966,NaN,NaN,NaN,34.194958589671,NaN,NaN
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,C3,C3,F3,F3,H3,H3,,,,,,
G,Cq,19.2276904407282,18.389358546486,20.2541156739445,22.0276052040635,20.4484555485713,20.2038735896503,NaN,NaN,NaN,NaN,NaN,NaN
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,C4,C4,F4,F4,H4,H4,,,,,,
H,Cq,21.1471729699065,19.8122835987439,21.0255717664906,22.1000296017433,20.8899824063163,20.3854405120998,NaN,NaN,NaN,NaN,NaN,NaN
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
