,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,A1,NaN,NaN
,A02,SYBR,,Unkn,A1,21.6871997313857,NaN
,A03,SYBR,,Unkn,E1,20.3268781921971,NaN
,A04,SYBR,,Unkn,E1,22.8173016999715,NaN
,A05,SYBR,,Unkn,G1,24.5651166941995,NaN
,A06,SYBR,,Unkn,G1,24.299066375145,NaN
,A07,SYBR,,Unkn,,NaN,NaN
,A08,SYBR,,Unkn,,NaN,NaN
,A09,SYBR,,Unkn,R.sph,17.7194609885568,NaN
,A10,SYBR,,Unkn,R.sph,18.417899370475,NaN
,A11,SYBR,,Unkn,E.coli,15.4230186324446,NaN
,A12,SYBR,,Unkn,E.coli,15.0069448013447,NaN
,B01,SYBR,,Unkn,A2,30.0353626763637,NaN
,B02,SYBR,,Unkn,A2,20.8874057317187,NaN
,B03,SYBR,,Unkn,E2,20.7600968682934,NaN
,B04,SYBR,,Unkn,E2,24.4578586663975,NaN
,B05,SYBR,,Unkn,G2,25.1222223953357,NaN
,B06,SYBR,,Unkn,G2,24.4416237347896,NaN
,B07,SYBR,,Unkn,,NaN,NaN
,B08,SYBR,,Unkn,,NaN,NaN
,B09,SYBR,,Unkn,H.flu,15.1517789797974,NaN
,B10,SYBR,,Unkn,H.flu,15.0092347888554,NaN
,B11,SYBR,,Unkn,mixed bac,15.4103806837999,NaN
,B12,SYBR,,Unkn,mixed bac,14.8774366575906,NaN
,C01,SYBR,,Unkn,A3,23.0910924384333,NaN
,C02,SYBR,,Unkn,A3,21.1001276262379,NaN
,C03,SYBR,,Unkn,E3,20.4246687309988,NaN
,C04,SYBR,,Unkn,E3,22.7243570738412,NaN
,C05,SYBR,,Unkn,G3,24.4045547251048,NaN
,C06,SYBR,,Unkn,G3,29.0239694299904,NaN
,C07,SYBR,,Unkn,,NaN,NaN
,C08,SYBR,,Unkn,,NaN,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Neg Ctrl,TE,NaN,NaN
,C12,SYBR,,Neg Ctrl,H2O,NaN,NaN
,D01,SYBR,,Unkn,A4,23.1027679304878,NaN
,D02,SYBR,,Unkn,A4,21.1738352261234,NaN
,D03,SYBR,,Unkn,E4,20.8442279432184,NaN
,D04,SYBR,,Unkn,E4,21.4010384256317,NaN
,D05,SYBR,,Unkn,G4,23.7254598685526,NaN
,D06,SYBR,,Unkn,G4,24.3027154604389,NaN
,D07,SYBR,,Unkn,,NaN,NaN
,D08,SYBR,,Unkn,,NaN,NaN
,D09,SYBR,,Unkn,,NaN,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,C1,18.5687710440346,NaN
,E02,SYBR,,Unkn,C1,18.3138063305419,NaN
,E03,SYBR,,Unkn,F1,20.2026294561886,NaN
,E04,SYBR,,Unkn,F1,21.2312725577665,NaN
,E05,SYBR,,Unkn,H1,19.5753099236489,NaN
,E06,SYBR,,Unkn,H1,20.0446101691765,NaN
,E07,SYBR,,Unkn,,NaN,NaN
,E08,SYBR,,Unkn,,25.3104843279956,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,C2,18.4377593945113,NaN
,F02,SYBR,,Unkn,C2,18.5195707556526,NaN
,F03,SYBR,,Unkn,F2,20.8663158298424,NaN
,F04,SYBR,,Unkn,F2,22.203365332048,NaN
,F05,SYBR,,Unkn,H2,21.1044883011915,NaN
,F06,SYBR,,Unkn,H2,20.4361751664966,NaN
,F07,SYBR,,Unkn,,NaN,NaN
,F08,SYBR,,Unkn,,NaN,NaN
,F09,SYBR,,Unkn,,NaN,NaN
,F10,SYBR,,Unkn,,34.194958589671,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,C3,19.2276904407282,NaN
,G02,SYBR,,Unkn,C3,18.389358546486,NaN
,G03,SYBR,,Unkn,F3,20.2541156739445,NaN
,G04,SYBR,,Unkn,F3,22.0276052040635,NaN
,G05,SYBR,,Unkn,H3,20.4484555485713,NaN
,G06,SYBR,,Unkn,H3,20.2038735896503,NaN
,G07,SYBR,,Unkn,,NaN,NaN
,G08,SYBR,,Unkn,,NaN,NaN
,G09,SYBR,,Unkn,,NaN,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,C4,21.1471729699065,NaN
,H02,SYBR,,Unkn,C4,19.8122835987439,NaN
,H03,SYBR,,Unkn,F4,21.0255717664906,NaN
,H04,SYBR,,Unkn,F4,22.1000296017433,NaN
,H05,SYBR,,Unkn,H4,20.8899824063163,NaN
,H06,SYBR,,Unkn,H4,20.3854405120998,NaN
,H07,SYBR,,Unkn,,NaN,NaN
,H08,SYBR,,Unkn,,NaN,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
