,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,A1,3034.74659589183,(+) Positive,Unknown,Positive,False
,A02,SYBR,,Unkn,A1,3888.219312084,(+) Positive,Unknown,Positive,False
,A03,SYBR,,Unkn,H1,2933.27959455057,(+) Positive,Unknown,Positive,False
,A04,SYBR,,Unkn,H1,2522.77764635512,(+) Positive,Unknown,Positive,False
,A05,SYBR,,Unkn,,-0.917435410872076,,Unknown,NoCall,False
,A06,SYBR,,Unkn,,-1.40523933414443,,Unknown,NoCall,False
,A07,SYBR,,Unkn,,-1.78928349374346,,Unknown,NoCall,False
,A08,SYBR,,Unkn,,-1.13781513510603,,Unknown,NoCall,False
,A09,SYBR,,Unkn,,-1.60117349060301,,Unknown,NoCall,False
,A10,SYBR,,Unkn,,-0.940203067266702,,Unknown,NoCall,False
,A11,SYBR,,Unkn,,-0.541535836139337,,Unknown,NoCall,False
,A12,SYBR,,Unkn,,-1.29905032394026,,Unknown,NoCall,False
,B01,SYBR,,Unkn,A2,3073.1664305759,(+) Positive,Unknown,Positive,False
,B02,SYBR,,Unkn,A2,2970.96231400735,(+) Positive,Unknown,Positive,False
,B03,SYBR,,Unkn,H2,1978.38655188344,(+) Positive,Unknown,Positive,False
,B04,SYBR,,Unkn,H2,2301.65737809422,(+) Positive,Unknown,Positive,False
,B05,SYBR,,Unkn,,-0.174227685102687,,Unknown,NoCall,False
,B06,SYBR,,Unkn,,-1.30897972510775,,Unknown,NoCall,False
,B07,SYBR,,Unkn,,-1.8411712540691,,Unknown,NoCall,False
,B08,SYBR,,Unkn,,-1.99626568951599,,Unknown,NoCall,False
,B09,SYBR,,Unkn,,-1.79631926350348,,Unknown,NoCall,False
,B10,SYBR,,Unkn,,-1.19037580555241,,Unknown,NoCall,False
,B11,SYBR,,Unkn,,-1.12148979715566,,Unknown,NoCall,False
,B12,SYBR,,Unkn,,-2.67868567371115,,Unknown,NoCall,False
,C01,SYBR,,Unkn,A3,3063.38296448642,(+) Positive,Unknown,Positive,False
,C02,SYBR,,Unkn,A3,2700.89383015418,(+) Positive,Unknown,Positive,False
,C03,SYBR,,Unkn,H3,1993.46199489077,(+) Positive,Unknown,Positive,False
,C04,SYBR,,Unkn,H3,2271.08010953678,(+) Positive,Unknown,Positive,False
,C05,SYBR,,Unkn,,-0.624015911708102,,Unknown,NoCall,False
,C06,SYBR,,Unkn,,-1.82658416230925,,Unknown,NoCall,False
,C07,SYBR,,Unkn,,-1.70427433500126,,Unknown,NoCall,False
,C08,SYBR,,Unkn,,-1.81868091119895,,Unknown,NoCall,False
,C09,SYBR,,Unkn,,-1.12564880103037,,Unknown,NoCall,False
,C10,SYBR,,Unkn,,-0.717390045039065,,Unknown,NoCall,False
,C11,SYBR,,Neg Ctrl,,0.0729306747380178,,ControlNegative,Negative,True
,C12,SYBR,,Neg Ctrl,,-0.971389194320091,,ControlNegative,Negative,True
,D01,SYBR,,Unkn,A4,616.995302712838,(+) Positive,Unknown,Positive,False
,D02,SYBR,,Unkn,A4,1203.22715192531,(+) Positive,Unknown,Positive,False
,D03,SYBR,,Unkn,NO SAMPLE,296.266639819335,,Unknown,NoCall,False
,D04,SYBR,,Unkn,NO SAMPLE,185.817309687389,,Unknown,NoCall,False
,D05,SYBR,,Unkn,,-1.85016312050093,,Unknown,NoCall,False
,D06,SYBR,,Unkn,,-2.07005429106493,,Unknown,NoCall,False
,D07,SYBR,,Unkn,,-0.709236668992708,,Unknown,NoCall,False
,D08,SYBR,,Unkn,,-1.90906295154018,,Unknown,NoCall,False
,D09,SYBR,,Unkn,,-0.562801810854216,,Unknown,NoCall,False
,D10,SYBR,,Unkn,,0.201033832345183,,Unknown,NoCall,False
,D11,SYBR,,Unkn,,-1.57108108653165,,Unknown,NoCall,False
,D12,SYBR,,Unkn,,-0.537954464330505,,Unknown,NoCall,False
,E01,SYBR,,Unkn,C1,2996.61436839493,(+) Positive,Unknown,Positive,False
