,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,72,7026.11738649299,8005.22812492999,7207.40120503704,6572.78122059548,2645.91966705297,2611.88109274788,2621.34583643436,2602.65891822206,2628.85239203481,2562.11129808051,2612.03220836762,2577.64258117322,6976.94195876582,6989.42388364776,5902.75153307194,6451.37393150112,2552.37480394998,2570.46221950319,2563.84923211442,2615.33643274243,2575.58848378421,2575.97398565989,2585.30506381017,2571.13658808312,7210.74256403061,6696.35260593596,6095.11954510317,6310.04588965839,2623.48350956703,2596.19450227519,2609.1204682557,2602.91269774478,2631.45349167639,2601.45364755617,2624.72636284556,2607.93524161292,3852.49997874881,5139.6935053934,3496.12348737137,3255.65335614092,2562.0776516793,2586.00751267086,2559.0422139676,2581.75247482692,2579.1226256269,2586.95146412161,2571.91234429241,2579.04004991093,6458.60933070017,7504.03843382748,9084.67381442707,8626.87275763655,2619.98742389247,2604.59412127633,2621.51541797854,2608.02863371215,2633.94943714217,2616.41387494265,2618.63241948582,2607.16328801866,6850.77037545248,7666.70672611011,8525.85249275663,9085.34188723307,3439.22745045373,2596.08947352384,2574.71812095429,2583.1242332432,2575.43316278543,2584.9729108792,2576.8518906312,2581.57506513597,7566.75758095113,6963.40578797936,9048.84589386986,8806.62293541373,2625.59991015134,2611.11806238672,2620.05153927328,2601.5874595379,2611.29455690503,2600.77351160262,2629.61225357986,2609.62370824987,4908.71151537964,5965.3879242763,7385.03419828684,7812.73594384073,2561.47874242435,2587.1683015748,2573.24881704231,2581.13506252421,2574.5206870463,2586.01459456871,2595.32499893949,2565.98631376657
,72.1,7011.75904193334,7986.55068493535,7191.12576207945,6559.53753561641,2645.89789910672,2611.4000289716,2621.19402528334,2603.05182746151,2629.1978687624,2562.70650491999,2611.25816610305,2577.20376715653,6964.3405168158,6974.40816873087,5891.01007108272,6438.35933794559,2552.89656227509,2570.27447497028,2564.38519440447,2615.48665784045,2575.32400662907,2576.06191792267,2585.108399139,2571.28847512598,7196.72785230435,6682.21969349797,6084.32606095321,6296.74420578711,2623.34221853264,2596.24821374268,2609.80483507414,2602.79143419368,2631.26018100388,2600.59097549559,2624.0704188834,2608.04765743156,3846.3188920289,5130.42152323792,3491.42362237418,3252.65568263748,2561.61792717344,2586.16839151446,2559.54196474411,2581.72164462106,2578.8392579879,2586.55029626959,2571.9671616789,2579.41727196456,6444.88515143659,7487.49408086376,9064.25935183772,8608.09176881235,2619.72745937946,2604.67924609787,2622.07362164245,2607.6894306356,2633.48989566812,2616.4685464351,2618.71279022917,2607.35866998671,6836.87299701399,7649.72303775274,8507.97046475712,9065.38267693517,3439.24777060257,2596.72915161042,2574.34765655609,2582.65023290242,2575.49225556894,2584.94312861013,2576.83581066108,2581.83199958145,7549.485613294,6948.21958727431,9029.29971884209,8787.70763818499,2625.3750829124,2611.03148732382,2619.67390224829,2602.2823359914,2611.13173130435,2601.34490992905,2630.54121834415,2609.14057985478,4899.23448683059,5954.24540266738,7374.56067283166,7801.06854445994,2561.99886053914,2587.45252530482,2573.14352310929,2581.07332304534,2574.82437943197,2585.85298074504,2595.51676198693,2566.61830734394
,72.2,6997.40069737369,7967.8732449407,7174.85031912187,6546.29385063734,2645.87613116048,2610.91896519532,2621.04221413232,2603.44473670097,2629.54334548999,2563.30171175948,2610.48412383848,2576.76495313985,6951.73907486577,6959.39245381398,5879.26860909349,6425.34474439005,2553.4183206002,2570.08673043738,2564.92115669452,2615.63688293847,2575.05952947393,2576.14985018546,2584.91173446783,2571.44036216884,7182.71314057808,6668.08678105999,6073.53257680325,6283.44252191582,2623.20092749824,2596.30192521017,2610.48920189259,2602.67017064258,2631.06687033138,2599.72830343501,2623.41447492125,2608.1600732502,3840.137805309,5121.14954108244,3486.72375737698,3249.65800913404,2561.15820266759,2586.32927035805,2560.04171552062,2581.69081441521,2578.55589034891,2586.14912841757,2572.0219790654,2579.79449401818,6431.16097217301,7470.94972790003,9043.84488924836,8589.31077998814,2619.46749486644,2604.76437091941,2622.63182530637,2607.35022755905,2633.03035419407,2616.52321792756,2618.79316097253,2607.55405195477,6822.9756185755,7632.73934939537,8490.08843675761,9045.42346663727,3439.26809075142,2597.36882969701,2573.97719215788,2582.17623256164,2575.55134835246,2584.91334634106,2576.81973069095,2582.08893402694,7532.21364563686,6933.03338656926,9009.75354381432,8768.79234095624,2625.15025567345,2610.94491226091,2619.29626522329,2602.9772124449,2610.96890570366,2601.91630825547,2631.47018310844,2608.65745145968,4889.75745828153,5943.10288105845,7364.08714737648,7789.40114507916,2562.51897865393,2587.73674903484,2573.03822917626,2581.01158356647,2575.12807181764,2585.69136692136,2595.70852503437,2567.25030092131
,72.3,6983.04235281403,7949.19580494605,7158.57487616428,6533.05016565828,2645.85436321423,2610.43790141904,2620.89040298131,2603.83764594042,2629.88882221758,2563.89691859896,2609.71008157391,2576.32613912316,6939.13763291574,6944.37673889709,5867.52714710426,6412.33015083451,2553.94007892531,2569.89898590447,2565.45711898457,2615.7871080365,2574.79505231879,2576.23778244824,2584.71506979666,2571.5922492117,7168.69842885182,6653.953868622,6062.73909265329,6270.14083804453,2623.05963646384,2596.35563667766,2611.17356871104,2602.54890709148,2630.87355965888,2598.86563137443,2622.75853095909,2608.27248906884,3833.9567185891,5111.87755892696,3482.02389237978,3246.6603356306,2560.69847816173,2586.49014920165,2560.54146629712,2581.65998420936,2578.27252270992,2585.74796056554,2572.07679645189,2580.17171607181,6417.43679290943,7454.40537493631,9023.430426659,8570.52979116394,2619.20753035342,2604.84949574095,2623.19002897028,2607.01102448249,2632.57081272003,2616.57788942002,2618.87353171588,2607.74943392283,6809.07824013701,7615.755661038,8472.20640875811,9025.46425633937,3439.28841090026,2598.00850778359,2573.60672775968,2581.70223222086,2575.61044113598,2584.88356407199,2576.80365072082,2582.34586847242,7514.94167797973,6917.84718586421,8990.20736878656,8749.87704372749,2624.92542843451,2610.85833719801,2618.9186281983,2603.67208889841,2610.80608010297,2602.4877065819,2632.39914787273,2608.17432306458,4880.28042973248,5931.96035944953,7353.6136219213,7777.73374569837,2563.03909676872,2588.02097276485,2572.93293524324,2580.9498440876,2575.43176420331,2585.52975309768,2595.90028808182,2567.88229449868
,72.4,6968.68400825438,7930.5183649514,7142.29943320669,6519.80648067921,2645.83259526798,2609.95683764276,2620.73859183029,2604.23055517987,2630.23429894517,2564.49212543845,2608.93603930933,2575.88732510647,6926.53619096571,6929.3610239802,5855.78568511503,6399.31555727898,2554.46183725041,2569.71124137157,2565.99308127462,2615.93733313452,2574.53057516365,2576.32571471102,2584.51840512549,2571.74413625456,7154.68371712556,6639.82095618401,6051.94560850333,6256.83915417325,2622.91834542945,2596.40934814515,2611.85793552948,2602.42764354038,2630.68024898637,2598.00295931385,2622.10258699694,2608.38490488748,3827.77563186919,5102.60557677148,3477.32402738258,3243.66266212716,2560.23875365588,2586.65102804525,2561.04121707363,2581.6291540035,2577.98915507093,2585.34679271352,2572.13161383838,2580.54893812544,6403.71261364585,7437.86102197259,9003.01596406965,8551.74880233973,2618.9475658404,2604.93462056249,2623.7482326342,2606.67182140594,2632.11127124598,2616.63256091247,2618.95390245923,2607.94481589088,6795.18086169852,7598.77197268063,8454.3243807586,9005.50504604146,3439.30873104911,2598.64818587017,2573.23626336147,2581.22823188008,2575.66953391949,2584.85378180291,2576.7875707507,2582.60280291791,7497.66971032259,6902.66098515917,8970.66119375878,8730.96174649874,2624.70060119556,2610.7717621351,2618.54099117331,2604.36696535191,2610.64325450229,2603.05910490833,2633.32811263703,2607.69119466948,4870.80340118343,5920.81783784061,7343.14009646611,7766.06634631758,2563.5592148835,2588.30519649487,2572.82764131021,2580.88810460873,2575.73545658898,2585.36813927401,2596.09205112926,2568.51428807604
,72.5,6954.32566369465,7911.84092495679,7126.02399024922,6506.56279570025,2645.81082732192,2609.47577386641,2620.58678067928,2604.62346441919,2630.57977567269,2565.08733227799,2608.16199704493,2575.44851108994,6913.93474901531,6914.34530906351,5844.04422312572,6386.30096372314,2554.98359557552,2569.52349683873,2566.52904356455,2616.08755823266,2574.26609800849,2576.41364697381,2584.32174045428,2571.8960232974,7140.66900539881,6625.68804374631,6041.15212435363,6243.53747030218,2622.77705439514,2596.46305961252,2612.54230234777,2602.30637998918,2630.48693831388,2597.14028725322,2621.44664303479,2608.49732070626,3821.59454514929,5093.33359461626,3472.62416238539,3240.66498862368,2559.77902914993,2586.81190688893,2561.54096785016,2581.59832379756,2577.70578743216,2584.94562486136,2572.18643122492,2580.92616017908,6389.98843438218,7421.31666900846,8982.6015014807,8532.96781351535,2618.6876013273,2605.01974538404,2624.30643629801,2606.33261832927,2631.65172977203,2616.68723240477,2619.03427320259,2608.14019785892,6781.28348325997,7581.78828432356,8436.44235275882,8985.54583574411,3439.32905119792,2599.28786395676,2572.86579896328,2580.75423153935,2575.7286267032,2584.82399953377,2576.77149078067,2582.85973736342,7480.3977426656,6887.47478445433,8951.11501873174,8712.04644927102,2624.47577395659,2610.68518707224,2618.16335414839,2605.06184180562,2610.4804289018,2603.63050323496,2634.25707740137,2607.20806627454,4861.3263726345,5909.67531623157,7332.66657101081,7754.39894693662,2564.07933299823,2588.58942022479,2572.72234737744,2580.82636512978,2576.03914897487,2585.2065254502,2596.28381417665,2569.14628165347
,72.6,6939.967319135,7893.16348496214,7109.74854729163,6493.31911072118,2645.78905937567,2608.99471009013,2620.43496952826,2605.01637365865,2630.92525240028,2565.68253911748,2607.38795478036,2575.00969707325,6901.33330706529,6899.32959414662,5832.3027611365,6373.28637016761,2555.50535390063,2569.33575230583,2567.0650058546,2616.23778333068,2574.00162085335,2576.50157923659,2584.12507578311,2572.04791034026,7126.65429367255,6611.55513130833,6030.35864020366,6230.2357864309,2622.63576336074,2596.51677108001,2613.22666916622,2602.18511643808,2630.29362764138,2596.27761519264,2620.79069907263,2608.6097365249,3815.41345842939,5084.06161246078,3467.92429738819,3237.66731512024,2559.31930464407,2586.97278573253,2562.04071862667,2581.56749359171,2577.42241979317,2584.54445700933,2572.24124861142,2581.30338223271,6376.2642551186,7404.77231604473,8962.18703889134,8514.18682469115,2618.42763681428,2605.10487020558,2624.86463996193,2605.99341525272,2631.19218829798,2616.74190389722,2619.11464394594,2608.33557982698,6767.38610482149,7564.80459596619,8418.56032475931,8965.58662544621,3439.34937134677,2599.92754204334,2572.49533456508,2580.28023119858,2575.78771948672,2584.7942172647,2576.75541081055,2583.1166718089,7463.12577500847,6872.28858374928,8931.56884370397,8693.13115204228,2624.25094671764,2610.59861200933,2617.7857171234,2605.75671825912,2610.31760330111,2604.20190156138,2635.18604216566,2606.72493787944,4851.84934408545,5898.53279462264,7322.19304555563,7742.73154755584,2564.59945111301,2588.87364395481,2572.61705344442,2580.76462565091,2576.34284136054,2585.04491162652,2596.4755772241,2569.77827523084
,72.7,6925.80001318881,7874.3110208344,7092.95724480567,6479.47979721388,2646.03396795088,2608.90263140084,2620.74411054617,2605.71844865702,2631.21965333989,2566.32912668047,2606.23879504751,2574.18371035102,6887.88935759088,6884.19878964977,5820.53648210055,6360.41813917798,2556.1268335076,2569.14946137099,2567.33669258044,2616.26604734335,2573.69820772727,2576.09312274567,2583.82010000674,2572.12621208789,7112.17362388448,6596.87123241014,6019.19585614139,6216.63208389252,2622.50750205345,2596.6785914839,2613.32800608882,2601.84898581862,2629.68481503429,2595.78713617209,2620.34785593892,2608.87120255485,3809.3604081728,5074.6514357081,3463.47170549672,3234.84805215878,2558.99549977414,2587.15873553902,2561.89127135599,2581.44363812574,2577.35376458344,2584.52762264108,2572.37319283288,2581.86589657148,6362.73739937491,7388.65164674085,8941.32237973497,8494.29343710519,2618.22375087463,2605.26602915808,2625.30929516881,2605.6032367269,2630.81914409698,2616.71401661479,2619.61874450984,2608.93157428414,6752.5743006161,7546.97264553882,8401.0026685951,8945.01647017067,3439.38480244855,2600.29563013701,2572.35424797509,2579.78513256833,2575.52897861503,2584.38466526396,2577.02123929348,2583.19337827718,7445.20090981494,6856.21887009566,8911.9458512433,8673.72049963337,2624.21403401991,2610.42054327209,2617.82394780784,2606.21987522481,2610.38684393096,2604.840975676,2635.82337639382,2606.30321364895,4841.81708607073,5886.95315184848,7311.67412793838,7730.73739420916,2565.18252267248,2589.25755524678,2572.58672403064,2580.82561807931,2576.59758700371,2585.05964754175,2596.96026461883,2570.46165340709
,72.8,6911.40992832831,7854.65338428952,7075.9279085568,6464.99653763837,2645.9337812182,2608.65770573375,2621.02848290659,2605.9146985306,2631.24565842306,2567.0533272882,2605.22507496139,2573.56979739931,6873.72105411767,6869.34620268559,5808.64937505736,6347.14328325127,2556.58856195807,2569.07226410725,2567.59349884292,2616.39238950797,2573.13160087808,2575.76127475254,2583.86583694159,2572.10099751134,7097.26633380131,6582.19359167075,6007.22007964911,6203.20580582032,2622.45316234785,2596.77356858104,2613.42918740853,2601.445066731,2628.78704404072,2595.19051026454,2620.19535605804,2609.50804478399,3803.48008077818,5064.97174882674,3459.80044595389,3232.08912004668,2558.83123406024,2587.36033944423,2561.94749502834,2581.22781009708,2577.126950231,2584.49656138642,2572.55647583415,2582.23609033059,6349.71247884965,7373.02707215271,8920.60088616204,8474.24865165074,2618.06914125174,2605.61245607834,2625.55900392638,2605.28019107299,2630.61505563939,2616.83305324785,2619.78033173987,2609.8094671028,6738.28437068934,7530.0590788281,8384.04618980832,8925.70073478214,3439.66381401495,2600.39420960587,2572.17677035336,2579.59768736869,2575.41562086011,2584.32635356108,2577.14360710616,2583.34979875801,7428.03685923386,6839.98945043281,8892.15514107188,8654.47823377096,2623.9186281069,2610.34581955456,2618.48380924595,2606.44241342886,2610.32316509506,2605.3071487168,2636.2484383537,2605.44395707851,4831.78165009422,5875.02474867164,7301.40707481859,7718.18589967915,2565.61893865029,2589.61670168888,2572.51585492249,2580.86079754162,2576.52455679707,2585.66410155725,2596.97591603939,2571.12133815948
,72.9,6896.92826160475,7834.5424490774,7059.11850495271,6449.9569826903,2645.80519566706,2608.42688294114,2621.55592817292,2606.03835978833,2631.39548490445,2567.37468607984,2604.3629950419,2573.33700314837,6859.49644369634,6854.76085340334,5796.56526253077,6333.38883252588,2557.02132721722,2569.10523810255,2567.44788988869,2616.52809210231,2572.90045328869,2575.47290774407,2583.9655064619,2572.37346295752,7081.90622874886,6567.14085180641,5994.76999884219,6189.78047666756,2622.5899031222,2596.75812087779,2613.85844664485,2600.96385451293,2628.05983415948,2595.27541989111,2620.27280704463,2610.04190220163,3797.91740156815,5055.4620924507,3456.38376515205,3229.39305610259,2558.83069408149,2587.52300821634,2562.04719837432,2580.88009390348,2576.71783759828,2584.20762286436,2572.65723921598,2582.893458702,6336.73366425957,7356.4833283752,8900.29098475405,8453.83669299906,2618.28464223152,2606.0591044253,2625.62109814389,2605.13609620074,2630.67655900241,2616.90102606615,2619.60458883529,2610.99082756538,6723.78840234732,7513.19793714035,8367.17361997896,8906.77137078757,3439.50681563784,2600.29261417445,2571.97871478325,2579.58393984939,2575.22596041603,2584.49954176265,2577.28583039786,2583.24983766089,7410.24350623016,6823.21480563074,8871.86274643587,8634.96170540209,2623.92409953546,2609.86712565468,2619.05536888374,2606.48623496655,2610.64955939145,2605.26222217011,2636.28316816038,2604.70066895011,4820.98930745219,5862.48651100311,7289.36218256419,7704.72837218967,2565.94708019663,2589.96313298558,2572.43749908914,2580.58651523697,2576.9325067157,2586.15187085732,2597.32543434671,2571.31507076391
