,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Unkn,A1,86.4
,A02,SYBR,,Unkn,A1,86.3
,A03,SYBR,,Unkn,H1,86.7
,A04,SYBR,,Unkn,H1,86.8
,A05,SYBR,,Unkn,,None
,A06,SYBR,,Unkn,,None
,A07,SYBR,,Unkn,,None
,A08,SYBR,,Unkn,,None
,A09,SYBR,,Unkn,,None
,A10,SYBR,,Unkn,,None
,A11,SYBR,,Unkn,,None
,A12,SYBR,,Unkn,,None
,B01,SYBR,,Unkn,A2,85.9
,B02,SYBR,,Unkn,A2,85.9
,B03,SYBR,,Unkn,H2,86
,B04,SYBR,,Unkn,H2,86
,B05,SYBR,,Unkn,,None
,B06,SYBR,,Unkn,,None
,B07,SYBR,,Unkn,,None
,B08,SYBR,,Unkn,,None
,B09,SYBR,,Unkn,,None
,B10,SYBR,,Unkn,,None
,B11,SYBR,,Unkn,,None
,B12,SYBR,,Unkn,,None
,C01,SYBR,,Unkn,A3,86.1
,C02,SYBR,,Unkn,A3,86
,C03,SYBR,,Unkn,H3,86.1
,C04,SYBR,,Unkn,H3,86.1
,C05,SYBR,,Unkn,,None
,C06,SYBR,,Unkn,,None
,C07,SYBR,,Unkn,,None
,C08,SYBR,,Unkn,,None
,C09,SYBR,,Unkn,,None
,C10,SYBR,,Unkn,,None
,C11,SYBR,,Neg Ctrl,,None
,C12,SYBR,,Neg Ctrl,,None
,D01,SYBR,,Unkn,A4,None
,D02,SYBR,,Unkn,A4,None
,D03,SYBR,,Unkn,NO SAMPLE,None
,D04,SYBR,,Unkn,NO SAMPLE,None
,D05,SYBR,,Unkn,,None
,D06,SYBR,,Unkn,,None
,D07,SYBR,,Unkn,,None
,D08,SYBR,,Unkn,,None
,D09,SYBR,,Unkn,,None
,D10,SYBR,,Unkn,,None
,D11,SYBR,,Unkn,,None
,D12,SYBR,,Unkn,,None
,E01,SYBR,,Unkn,C1,85.7
,E02,SYBR,,Unkn,C1,85.7
,E03,SYBR,,Unkn,R.Sph,85.7
,E04,SYBR,,Unkn,R.Sph,85.7
,E05,SYBR,,Unkn,,None
,E06,SYBR,,Unkn,,None
,E07,SYBR,,Unkn,,None
,E08,SYBR,,Unkn,,None
,E09,SYBR,,Unkn,,None
,E10,SYBR,,Unkn,,None
,E11,SYBR,,Unkn,,None
,E12,SYBR,,Unkn,,None
,F01,SYBR,,Unkn,C2,85.5
,F02,SYBR,,Unkn,C2,85.5
,F03,SYBR,,Unkn,H.Flu,84.6
,F04,SYBR,,Unkn,H.Flu,84.6
,F05,SYBR,,Unkn,,None
,F06,SYBR,,Unkn,,None
,F07,SYBR,,Unkn,,None
,F08,SYBR,,Unkn,,None
,F09,SYBR,,Unkn,,None
,F10,SYBR,,Unkn,,None
,F11,SYBR,,Unkn,,None
,F12,SYBR,,Unkn,,None
,G01,SYBR,,Unkn,C3,86.3
,G02,SYBR,,Unkn,C3,86.3
,G03,SYBR,,Unkn,E.coli,86.1
,G04,SYBR,,Unkn,E.coli,86.1
,G05,SYBR,,Unkn,,None
,G06,SYBR,,Unkn,,None
,G07,SYBR,,Unkn,,None
,G08,SYBR,,Unkn,,None
,G09,SYBR,,Unkn,,None
,G10,SYBR,,Unkn,,None
,G11,SYBR,,Unkn,,None
,G12,SYBR,,Unkn,,None
,H01,SYBR,,Unkn,C4,None
,H02,SYBR,,Unkn,C4,86.1
,H03,SYBR,,Unkn,Mixed_Bact,84.4
,H03,SYBR,,Unkn,Mixed_Bact,85.8
,H04,SYBR,,Unkn,Mixed_Bact,84.4
,H04,SYBR,,Unkn,Mixed_Bact,85.8
,H05,SYBR,,Unkn,,None
,H06,SYBR,,Unkn,,None
,H07,SYBR,,Unkn,,None
,H08,SYBR,,Unkn,,None
,H09,SYBR,,Unkn,,None
,H10,SYBR,,Unkn,,None
,H11,SYBR,,Unkn,,None
,H12,SYBR,,Unkn,,None
