Binomial,Common Name,Whole Bag (grams),Without Bag
Andropogon gerardii,Big bluestem,15.96,11.34
Aster novae-angliae,New England Aster,6.47,1.85
Astragalus canadensis,Canada Milk Vetch,19.21,14.6
Baptisia leucantha,White Wild Indigo,7.59,2.97
Carex bicknellii,Copper-shouldered oval sedge,11.65,7.04
Coreopsis tripteris,Tall coreopsis,9.59,4.97
Coreopsis tripteris,Tall coreopsis,5.26,0.64
Desmodium canadense,Showy tick trefoil,29.02,24.4
Echinacea pallida,Pale purple coneflower,19.03,14.41
Elymus canadensis,Canada wild rye,7.73,3.11
Helianthus grosseserratus,Sawtooth sunflower,6.96,2.35
Heliopsis helianthoides,Early Sunflower,5.5,0.88
Lespedeza capitata,Round Head Bush Clover,12.48,7.86
Monarda fistulosa,Wild bergamot,5.43,0.81
Parthenium integrifolium,Wild quinine,36.21,31.59
Penstemon digitalis,Foxglove Beardtongue,10.21,5.6
Penstemon digitalis,Foxglove Beardtongue,9.63,5.01
Dalea purpurea,Purple prairie clover,9.04,4.43
Dalea purpurea,Purple prairie clover,16.62,12
Pycnanthemum virginianum,Common mountain mint,7.16,2.54
Ratibida pinnata,Yellow coneflower,10.49,5.87
Rudbeckia subtomentosa,Sweet Blackeyed Susan,16.79,12.18
Schizachyrium scoparium,Little bluestem,8.51,3.9
Silphium integrifolium,Rosin weed,28.95,24.33
Silphium laciniatum,Compass plant,12.65,8.03
Silphium perfoliatum,Cupplant,35.46,30.85
Silphium terebinthinaceum,Prairie dock,33.46,28.85
Solidago rigida,Stiff goldenrod,14.51,9.89
Sorghastrum nutans,Indian grass,7.02,2.4
Veronicastrum virginicum,Culver's root,21.33,16.72
Solidago canadensis,,15.12,10.5
Rudbeckia hirta,,6.16,1.55
Baptisia spp2,,8.29,3.68
Aster hirta,,9.75,5.13
Taraxacum officinale,Dandelion,13.63,9.01
Heliopsis,*not on original list,8.29,3.67
EMPTY PLASTIC BAG,,4.62,
