Binomial,Common,Leaf Voucher Count,Root Voucher Count,Root Description - Chunky Status (Approx. Diameters)
Andropogon gerardii,Big Bluestem,5,1,.
Aster novae-angliae,New England Aster,5,1,"some, most <1cm"
Astragalus canadensis,Canada Milk Vetch,5,1,"many thicker, <1cm"
Baptisia leucantha,White Wild Indigo,5,1,"thicker, ~1cm"
Carex bicknellii,Copper-Shouldered Oval Sedge,5,1,.
Coreopsis palmata,Prairie Coreopsis,0,0,
Coreopsis tripteris,Tall Coreopsis,5,2,.
Desmodium canadense,Showy Tick Trefoil,5,1,"chunky, most 0.5-1.5cm"
Echinacea pallida,Pale Purple Coneflower,5,1,"thick and hard, 0.5-1cm"
Elymus canadensis,Canada Wild Rye,5,1,.
Helianthus grosseserratus,Sawtooth Sunflower,5,1,"twig like, ~0.25cm"
Heliopsis helianthoides,Early Sunflower,5,1,.
Lespedeza capitata,Round Head Bush Clover,5,1,"very few small, many ~0.5-1cm"
Monarda fistulosa,Wild Bergamot,5,1,.
Parthenium integrifolium,Wild Quinine,5,1,Most all SUPER chunky >1.5cm
Penstemon digitalis,Foxglove Beardtongue,5,2,a few thicker parts where the roots join together
Dalea purpurea,Purple Prairie Clover,5,2,"Twig like, 0.25-1cm"
Pycnanthemum virginianum,Common Mountain Mint,5,1,.
Ratibida pinnata,Yellow Coneflower,5,1,"Some very thin, other very thick ~1cm"
Rudbeckia subtomentosa,Sweet Blackeyed Susan,5,1,most ~1cm
Schizachyrium scoparium,Little Bluestem,5,1,.
Silphium integrifolium,Rosin Weed,5,1,"Some very chunky, 0.1-2.0cm"
Silphium laciniatum,Compass Plant,5,1,All super chunky >1cm
Silphium perfoliatum,Cupplant,6,1,"some thin, most chunky"
Silphium terebinthinaceum,Prairie Dock,5,1,"All super chunky >1cm, woody"
Solidago rigida,Stiff Goldenrod,5,1,.
Sorghastrum nutans,Indian Grass,5,1,.
Veronicastrum virginicum,Culver's Root,5,1,.
Solidago canadensis,,5,1,"many thin, some ~0.5cm"
Rudbeckia hirta,,5,1,.
Baptisia spp2,,7,1,Thicker 0.25-0.75cm
Aster hirta,,5,1,just a few thicker ~0.5cm
Taraxacum officinale,Dandelion,5,1,"many medium, some >1cm"
Heliopsis,"*not on original list, handwritten labels",3,1,a few thicker roots
